time	rss	kernel
0	1056768	229376
100645643	23719936	552960
200678453	39133184	581632
300658502	51691520	606208
400657480	62685184	626688
500658686	71716864	643072
600659819	80531456	659456
700674067	88928256	679936
800679493	96325632	696320
900676029	104140800	708608
1000677633	110977024	724992
1100685312	115064832	729088
1200682360	115064832	729088
1300682803	115064832	729088
1400679088	115064832	729088
1500682038	115064832	729088
1600679486	115064832	729088
1700680306	115064832	729088
1800662692	115064832	729088
1900673296	115064832	729088
2000683636	115064832	729088
2100681484	115064832	729088
2200667411	115064832	729088
2300670920	115720192	733184
2400653823	118210560	741376
2500658893	121225216	745472
2600654915	124108800	753664
2700674141	126984192	757760
2800676548	129998848	761856
2900671993	133005312	770048
3000674073	135888896	774144
3100673106	138878976	782336
3200677263	141893632	786432
3300672353	144777216	794624
3400672139	147529728	802816
3500671160	150274048	806912
3600672786	152748032	811008
3700655753	155631616	815104
3800675159	158515200	823296
3900653269	161267712	831488
4000655611	164151296	835584
4100656092	166977536	843776
4200679605	169861120	847872
4300654648	171827200	856064
4400659633	171945984	856064
4500655558	172077056	856064
4600652907	172208128	856064
4700654410	172470272	856064
4800652396	172601344	856064
4900653755	172732416	856064
5000654471	172863488	856064
5100654678	172994560	856064
5200654964	173125632	856064
5300675951	173387776	864256
5400668126	173518848	864256
5500673727	173649920	864256
5600671438	173780992	864256
5700672549	174043136	864256
5800677855	174174208	864256
5900671429	174305280	864256
6000653499	174436352	864256
6100666664	174567424	864256
6200652736	174829568	864256
6300671613	174960640	864256
6400656917	175091712	864256
6500654861	175222784	864256
6600653703	175484928	864256
6700654881	175616000	868352
6800653722	175747072	868352
6900673243	175878144	868352
7000669896	176140288	868352
7100653560	176271360	868352
7200669865	176402432	868352
7300656243	176533504	868352
7400672230	176664576	872448
7500672390	176926720	872448
7600670414	177057792	872448
7700683681	180301824	880640
7800674351	180260864	929792
7900681360	180289536	954368
8000682937	180154368	958464
8100681096	179970048	999424
8200682836	179695616	1007616
8300680801	179646464	1040384
8400681775	179281920	1048576
8500675592	180084736	1060864
8600671890	180269056	1081344
8700686751	180690944	1101824
8800674127	180563968	1114112
8900679628	180805632	1130496
9000683278	180830208	1146880
9100685893	180883456	1159168
9200682664	179953664	1183744
9300680234	180654080	1183744
9400679592	180424704	1183744
9500682060	180617216	1204224
9600683671	181104640	1208320
9700681805	180142080	1220608
9800680108	180391936	1224704
9900683222	180539392	1228800
10000681408	180772864	1228800
10100669824	180785152	1232896
10200667325	181317632	1245184
10300681399	180535296	1253376
10400682386	181075968	1257472
10500681058	180580352	1273856
10600683945	181100544	1282048
10700682351	180514816	1282048
10800680421	180899840	1294336
10900680361	181211136	1306624
11000671667	181059584	1314816
11100663909	181739520	1318912
11200681625	181223424	1323008
11300682481	181014528	1327104
11400664275	181309440	1335296
11500660461	180678656	1343488
11600681342	181145600	1347584
11700665142	181063680	1351680
11800662855	181063680	1355776
11900684678	181395456	1355776
12000663012	181014528	1363968
12100691290	180756480	1368064
12200679495	181174272	1372160
12300680906	181592064	1372160
12400678701	181284864	1376256
12500684059	180752384	1384448
12600680842	181043200	1388544
12700675986	180944896	1388544
12800671496	181432320	1388544
12900674987	181403648	1400832
13000665115	180744192	1409024
13100680387	181583872	1413120
13200680767	181944320	1417216
13300683063	181477376	1417216
13400681924	181276672	1417216
13500682079	181145600	1425408
13600683079	181805056	1429504
13700660547	180862976	1441792
13800664460	181227520	1449984
13900680994	181964800	1449984
14000683630	181649408	1449984
14100665300	181018624	1454080
14200683534	181993472	1454080
14300681125	182063104	1462272
14400680778	180887552	1474560
14500661547	181620736	1474560
14600659846	181145600	1474560
14700661687	181022720	1478656
14800679665	181080064	1486848
14900683022	181399552	1490944
15000672751	181428224	1495040
15100681909	181256192	1503232
15200684154	181473280	1511424
15300680810	181559296	1511424
15400681638	181895168	1515520
15500681653	181379072	1523712
15600681166	181182464	1531904
15700678842	181985280	1531904
15800676657	181960704	1531904
15900682633	181731328	1531904
16000682034	181612544	1544192
16100682083	181395456	1552384
16200679847	181854208	1552384
16300675071	181743616	1556480
16400680663	181248000	1564672
16500681380	181231616	1568768
16600682229	181362688	1572864
16700682648	181784576	1572864
16800683631	181428224	1581056
16900679962	181157888	1589248
17000674593	181608448	1589248
17100671621	181174272	1597440
17200660167	181497856	1597440
17300678514	181194752	1601536
17400682343	181272576	1601536
17500665146	181497856	1605632
17600680791	181407744	1605632
17700664972	181051392	1617920
17800690080	182087680	1622016
17900682137	181198848	1626112
18000679409	181264384	1634304
18100680628	181174272	1642496
18200683082	181067776	1646592
18300685364	181116928	1654784
18400669794	181125120	1658880
18500679830	181149696	1667072
18600680747	181452800	1671168
18700676582	181587968	1675264
18800661126	181301248	1683456
18900681798	181346304	1687552
19000681161	181874688	1687552
19100680072	182005760	1687552
19200683249	182317056	1687552
19300680597	181932032	1699840
19400680474	182276096	1712128
19500684182	182272000	1720320
19600680566	182071296	1728512
19700679274	182231040	1736704
19800679133	182566912	1748992
19900679658	182398976	1753088
20000682260	182476800	1761280
20100680779	182554624	1761280
20200679350	182042624	1769472
20300679760	182530048	1769472
20400661423	182222848	1769472
20500694593	182665216	1781760
20600681930	182161408	1789952
20700682089	182747136	1798144
20800684978	182579200	1798144
20900682796	182751232	1802240
21000678658	182132736	1802240
21100683168	182697984	1810432
21200677095	182386688	1818624
21300676808	182161408	1822720
21400672603	182120448	1826816
21500683784	182870016	1830912
21600683111	182833152	1835008
21700686405	182046720	1839104
21800680014	182779904	1847296
21900683103	182128640	1851392
22000687327	182714368	1851392
22100681105	183123968	1855488
22200680547	183042048	1871872
22300682074	182743040	1880064
22400681726	182550528	1880064
22500683024	182755328	1884160
22600681405	182931456	1892352
22700688268	182931456	1900544
22800683389	182231040	1912832
22900685796	182464512	1916928
23000681779	182976512	1916928
23100680519	182128640	1933312
23200684443	182927360	1933312
23300682393	183050240	1933312
23400681989	182210560	1941504
23500681781	183369728	1949696
23600683126	183181312	1949696
23700681651	182382592	1957888
23800681667	182054912	1966080
23900676956	182779904	1966080
24000690558	182206464	1974272
24100682221	181944320	1978368
24200685101	182489088	1982464
24300682367	182251520	1982464
24400682390	182181888	1986560
24500682069	182243328	1986560
24600682109	182435840	1990656
24700684724	182521856	1990656
24800685469	182607872	1994752
24900680074	182849536	1994752
25000681642	182939648	1998848
25100688274	182681600	1998848
25200672503	182587392	2002944
25300682003	182202368	2011136
25400686683	182747136	2015232
25500681507	182861824	2015232
25600675977	182829056	2019328
25700691647	182878208	2019328
25800663864	182693888	2019328
25900682901	182501376	2023424
26000682421	182255616	2031616
26100688757	182288384	2035712
26200682882	182542336	2039808
26300679463	182206464	2043904
26400680515	182865920	2052096
26500670812	182956032	2052096
26600680981	182079488	2068480
