time	rss	kernel
0	729088	139264
100550485	14073856	1826816
200588130	11030528	2129920
300603320	30978048	2527232
400604852	16433152	2588672
500780583	16519168	2621440
600942224	16408576	2621440
700938773	16408576	2621440
800925638	16408576	2621440
900895391	16408576	2621440
1000891547	16408576	2621440
1100868519	16408576	2621440
1200858268	16408576	2621440
1300757875	16408576	2621440
1400758973	16408576	2621440
1500753103	16408576	2621440
1600944924	16408576	2621440
1700941988	16408576	2621440
1800940484	16408576	2621440
1900932578	16359424	2621440
2000941871	16359424	2621440
2100945620	16359424	2621440
2200942506	16359424	2621440
2300863417	16359424	2621440
2400925303	16359424	2621440
2500893399	16359424	2621440
2600843539	16359424	2621440
2700944930	16359424	2621440
2800941610	16359424	2621440
2900944005	16359424	2621440
3000938586	16359424	2621440
3100943181	16359424	2621440
3200929379	16351232	2621440
3300908896	16351232	2621440
3400895067	16351232	2621440
3500588142	16936960	2736128
