time	rss	kernel
0	630784	192512
100596664	37912576	598016
200616211	33341440	622592
300603857	33341440	622592
400601495	33341440	622592
500583632	28549120	622592
600583816	29204480	622592
700584964	29859840	622592
800583411	30646272	622592
900584882	31301632	622592
1000584103	31956992	622592
1100583897	32874496	622592
1200585161	33398784	622592
1300589260	34054144	622592
1400586678	34709504	626688
1500584468	35364864	626688
1600589779	38379520	630784
1700594952	60637184	675840
1800590120	60637184	675840
1900603613	60637184	675840
