time	rss	kernel
0	868352	196608
100573124	25944064	585728
200603237	42008576	618496
300752567	58744832	651264
400578293	60043264	655360
500594178	60821504	655360
600598000	61628416	663552
700580480	62050304	667648
800576550	63229952	675840
900593952	64966656	684032
1000578110	68743168	696320
1100578860	69246976	729088
1200583323	68005888	741376
1300584707	68968448	782336
1400594827	68485120	819200
1500601328	69373952	827392
1600603281	66289664	860160
1700604313	65462272	884736
1800591264	65466368	921600
1900596514	63737856	937984
2000602646	64286720	970752
2100598979	63045632	970752
2200599091	65179648	1011712
2300591741	63877120	1044480
2400574703	61706240	1085440
2500600976	60399616	1105920
2600605264	60538880	1155072
2700593628	59031552	1167360
2800603207	58720256	1208320
2900590627	56930304	1232896
3000602232	59310080	1232896
3100598617	59375616	1265664
3200591335	59404288	1314816
3300601361	59453440	1314816
3400594909	58187776	1359872
3500605591	58974208	1359872
3600594152	55234560	1392640
3700593462	55083008	1437696
3800597768	54956032	1470464
3900595388	54763520	1495040
4000589153	54894592	1495040
4100596035	52813824	1511424
4200596050	51728384	1523712
4300590627	49418240	1552384
4400589683	48893952	1552384
4500606967	48304128	1552384
4600592053	51187712	1552384
4700556743	50413568	1552384
4800877272	46374912	1552384
