time	rss	kernel
0	622592	139264
100554723	25395200	466944
200590707	41451520	507904
300570073	60149760	540672
400567767	79007744	577536
500568759	97284096	606208
600607811	115634176	651264
700606066	133328896	688128
800560322	151121920	720896
900565199	169463808	757760
1000563099	187666432	790528
1100567022	206016512	827392
1200567252	224366592	864256
1300567302	242585600	897024
1400566753	261066752	937984
1500565249	279285760	970752
1600567266	297570304	1003520
1700563597	315133952	1040384
1800569088	333467648	1073152
1900569644	351129600	1105920
2000567652	369348608	1146880
2100565451	387698688	1183744
2200570659	405917696	1216512
2300564375	424136704	1253376
2400564916	442478592	1286144
2500568275	460828672	1318912
2600568792	478654464	1359872
2700564674	496349184	1392640
2800561418	514568192	1429504
2900565923	532787200	1462272
3000570573	551006208	1495040
3100563545	556249088	1507328
3200563235	556249088	1507328
3300577656	556249088	1507328
3400577219	556380160	1507328
3500577978	556380160	1507328
3600578816	557875200	1507328
3700577899	558112768	1507328
3800579597	558518272	1515520
3900562066	558354432	1515520
4000563834	558366720	1523712
4100563700	559034368	1527808
4200573294	558927872	1527808
4300605020	559091712	1527808
4400566497	559050752	1531904
4500564602	559362048	1536000
4600565122	558624768	1536000
4700559859	560037888	1548288
4800559739	559292416	1548288
4900561382	559714304	1552384
5000561541	561348608	1560576
5100558842	560205824	1564672
5200565715	560304128	1568768
5300561428	560066560	1568768
5400558242	559689728	1572864
5500562034	559759360	1572864
5600564127	560336896	1581056
5700561870	562216960	1593344
5800563823	561942528	1597440
5900562454	561496064	1597440
6000564874	561242112	1605632
6100563413	563863552	1609728
6200561886	562708480	1609728
6300561825	562040832	1613824
6400563266	561401856	1617920
6500563157	562028544	1617920
6600561409	561102848	1622016
6700560855	561037312	1622016
6800560142	562274304	1634304
6900562341	561397760	1638400
7000563803	562245632	1642496
7100567166	567754752	1654784
7200566213	568172544	1667072
7300559602	568967168	1675264
7400561423	569360384	1679360
7500563537	567742464	1679360
7600563096	567189504	1695744
7700561317	566636544	1699840
7800563610	566157312	1708032
7900565688	567476224	1712128
8000563970	566755328	1720320
8100563423	568229888	1724416
8200564429	566149120	1728512
8300566099	565354496	1732608
8400564505	569622528	1740800
8500563893	570327040	1748992
8600566699	567808000	1753088
8700569513	568762368	1765376
8800562596	567635968	1769472
8900563401	568254464	1781760
9000569457	574214144	1798144
9100558154	576491520	1806336
9200562842	576864256	1818624
9300555813	575553536	1839104
9400568370	580796416	1839104
9500572506	581066752	1859584
9600571618	580923392	1875968
9700558772	578539520	1892352
9800566051	576188416	1912832
9900563952	578912256	1933312
10000561292	575979520	1957888
10100562743	575373312	1982464
10200563781	576557056	1994752
10300567124	580358144	1998848
10400565571	581439488	2015232
10500571352	581079040	2039808
10600562832	578347008	2064384
10700557112	576937984	2088960
10800568047	578990080	2088960
10900564951	583053312	2093056
11000564730	583987200	2097152
11100560978	587132928	2097152
11200558981	588918784	2101248
11300563082	592719872	2105344
11400561295	566427648	2109440
11500558394	566681600	2142208
11600565448	567336960	2158592
11700560501	564494336	2183168
11800562079	564256768	2207744
11900555888	563048448	2236416
12000566938	563658752	2256896
12100570360	568639488	2256896
12200569800	564465664	2285568
12300525427	564482048	2306048
12400567662	564379648	2322432
12500561647	564092928	2347008
12600560438	562417664	2359296
12700606928	566218752	2359296
12800563784	566784000	2379776
12900559242	565919744	2396160
13000562132	566288384	2416640
13100564676	565465088	2433024
13200568413	562675712	2453504
13300563237	563945472	2482176
13400562972	568926208	2482176
13500560879	567013376	2494464
13600558256	566108160	2519040
13700565370	563773440	2547712
13800567357	563388416	2560000
13900559858	564035584	2576384
14000570021	565739520	2576384
14100559329	568041472	2596864
14200569821	566603776	2613248
14300559176	564903936	2641920
14400558697	564154368	2662400
14500556135	568479744	2662400
14600565524	571887616	2662400
14700562239	575950848	2662400
14800562106	578572288	2666496
14900563116	577486848	2670592
15000565936	579297280	2674688
15100554574	581914624	2682880
15200560409	585977856	2686976
15300562112	588918784	2695168
15400563793	592064512	2699264
15500569007	590315520	2699264
15600556606	539226112	2707456
15700558415	539709440	2732032
15800605308	537808896	2756608
15900559548	536801280	2777088
16000561875	535592960	2805760
16100562256	535166976	2834432
16200567993	540917760	2842624
16300565508	539754496	2863104
16400559519	536506368	2883584
16500559065	538263552	2887680
16600558904	543244288	2887680
16700567554	543731712	2887680
16800568487	531886080	2891776
16900564509	529928192	2912256
17000561206	527933440	2928640
17100561967	527925248	2928640
17200566156	533839872	2953216
17300570015	532422656	2969600
17400561998	532717568	2985984
17500571549	530075648	3002368
17600568633	531681280	3018752
17700561502	529846272	3031040
17800560809	528621568	3051520
17900561652	529199104	3072000
18000560845	529928192	3088384
18100561970	534384640	3088384
18200559932	532566016	3117056
18300566696	531312640	3133440
18400572344	532213760	3158016
18500569169	528973824	3174400
18600570558	533430272	3174400
18700558606	532926464	3198976
18800562610	531316736	3231744
18900557979	529727488	3248128
19000562903	530698240	3284992
19100566332	530128896	3301376
19200562379	529485824	3325952
19300573315	528035840	3342336
19400568487	526450688	3358720
19500571048	531169280	3358720
19600561629	534052864	3358720
19700561315	537985024	3358720
19800562905	538066944	3358720
19900566491	542654464	3358720
20000559687	542830592	3362816
20100532698	544759808	3362816
20200567582	546693120	3362816
20300556701	550756352	3362816
20400567984	550719488	3362816
20500567987	506974208	3371008
20600556124	506011648	3387392
20700562780	505622528	3403776
20800564433	505184256	3428352
20900567539	503386112	3440640
21000570325	509546496	3440640
21100568485	505851904	3465216
21200571089	506732544	3489792
21300562617	505438208	3510272
21400563149	505516032	3526656
21500564332	505663488	3547136
21600566415	504758272	3559424
21700565048	508297216	3559424
21800568855	508080128	3579904
21900565610	506081280	3600384
22000565379	506728448	3608576
22100561777	504557568	3629056
22200566795	503951360	3649536
22300568718	507883520	3649536
22400565573	507785216	3661824
22500585766	511586304	3661824
22600563097	515387392	3661824
22700555986	515964928	3661824
22800564212	519897088	3661824
22900569121	518098944	3661824
23000561502	488583168	3678208
23100559077	489336832	3698688
23200566335	488247296	3715072
23300572290	494014464	3715072
23400563621	493125632	3731456
