time	rss	kernel
0	921600	229376
100531769	25616384	581632
200560935	40636416	622592
300547351	59203584	655360
400544788	77275136	684032
500544519	95289344	716800
600547530	113246208	753664
700546082	131334144	794624
800543564	148733952	827392
900546875	166551552	860160
1000550211	184229888	892928
1100546312	202448896	929792
1200545132	220405760	966656
1300550642	238100480	999424
1400547417	255795200	1040384
1500547708	273489920	1069056
1600545906	291119104	1101824
1700547225	308682752	1134592
1800542045	326230016	1171456
1900547093	344055808	1200128
2000551317	362242048	1241088
2100549285	380067840	1282048
2200550113	397762560	1314816
2300550101	415457280	1351680
2400550328	433020928	1384448
2500548458	450969600	1417216
2600547780	469057536	1458176
2700552695	486752256	1490944
2800549271	504578048	1519616
2900548121	522665984	1556480
3000545932	540229632	1589248
3100541326	556351488	1617920
3200542450	556482560	1617920
3300540620	556482560	1617920
3400890975	556482560	1617920
3500544911	556613632	1617920
3600543286	556613632	1617920
3700544465	558370816	1622016
3800562564	558608384	1626112
3900545821	558694400	1630208
4000543027	558952448	1634304
4100553434	558858240	1634304
4200544177	559529984	1638400
4300548026	559591424	1642496
4400540470	559632384	1642496
4500547589	559415296	1646592
4600542849	559681536	1650688
4700545802	559005696	1654784
4800542706	560513024	1662976
4900541005	560021504	1662976
5000543086	560656384	1667072
5100544893	561848320	1671168
5200544548	560795648	1675264
5300542795	560783360	1675264
5400541538	560484352	1679360
5500540883	560418816	1683456
5600542483	559788032	1683456
5700541745	560680960	1691648
5800546409	561471488	1695744
5900541929	562507776	1703936
6000546120	561999872	1703936
6100550822	562286592	1703936
6200541947	562434048	1716224
6300544437	562089984	1716224
6400545728	561524736	1720320
6500546003	560734208	1720320
6600544832	560726016	1728512
6700542930	560750592	1732608
6800542227	559951872	1736704
6900548226	560484352	1740800
7000540848	561016832	1748992
7100541562	563404800	1753088
7200545151	568934400	1761280
7300551875	568713216	1765376
7400544937	569356288	1773568
7500545502	569974784	1777664
7600508210	568217600	1777664
7700543075	567562240	1781760
7800540646	567062528	1785856
7900545039	566280192	1785856
8000549379	567853056	1794048
8100542649	568115200	1798144
8200545668	566460416	1802240
8300539838	566763520	1806336
8400546945	565698560	1810432
8500545329	566071296	1818624
8600543877	571686912	1835008
8700545062	568479744	1843200
8800549166	571416576	1855488
8900544554	568193024	1855488
9000544097	568889344	1871872
9100545721	573771776	1884160
9200541733	577282048	1892352
9300542304	578641920	1904640
9400539500	578842624	1921024
9500542426	577470464	1937408
9600546584	577900544	1957888
9700542031	580587520	1961984
9800540687	579432448	1982464
9900548984	579489792	2002944
10000549386	580833280	2015232
10100548524	580911104	2035712
10200540755	579051520	2056192
10300541018	580124672	2080768
10400541276	579072000	2101248
10500539166	576348160	2129920
10600544851	581328896	2129920
10700545372	580882432	2150400
10800547443	580358144	2174976
10900521667	579788800	2187264
11000510532	583458816	2191360
11100508627	586604544	2191360
11200507057	587157504	2199552
11300510002	589381632	2203648
11400513269	593182720	2215936
11500513983	590954496	2215936
11600515715	567943168	2240512
11700515442	566808576	2256896
11800515616	565587968	2281472
11900515150	565874688	2301952
12000513496	562028544	2338816
12100514001	567787520	2338816
12200512808	565809152	2355200
12300514591	563998720	2383872
12400514754	563920896	2404352
12500515792	564101120	2416640
12600516041	562364416	2433024
12700514960	567476224	2437120
12800512239	565813248	2453504
12900514234	566239232	2473984
13000513641	565911552	2490368
13100514962	563765248	2510848
13200513588	564658176	2527232
13300512978	562786304	2547712
13400513310	567898112	2547712
13500514868	569176064	2572288
13600516189	566960128	2588672
13700515501	564670464	2609152
13800514832	564080640	2633728
13900514904	568143872	2633728
14000512317	565489664	2654208
14100512676	566001664	2674688
14200513616	565559296	2695168
14300514703	565792768	2715648
14400513289	565022720	2744320
14500515321	562798592	2768896
14600511741	567648256	2768896
14700509508	571318272	2768896
14800511452	570818560	2768896
14900510244	573755392	2768896
15000508191	577294336	2772992
15100510907	578646016	2781184
15200511242	583757824	2789376
