time	rss	kernel
0	790528	192512
100579731	12619776	499712
200591725	21250048	528384
300592926	29286400	544768
400596474	36536320	573440
500593178	43192320	577536
600597823	49057792	598016
700592576	54775808	606208
800617626	60559360	622592
900600847	65740800	638976
1000602770	70971392	651264
1100602391	75284480	655360
1200601338	80109568	671744
1300603776	84443136	679936
1400601064	88420352	684032
1500599121	92004352	692224
1600603260	95461376	704512
1700601565	98594816	708608
1800598639	101195776	712704
1900602905	104341504	712704
2000597717	107933696	733184
2100603209	110432256	733184
2200604437	112758784	737280
2300601977	115621888	741376
2400603165	117841920	745472
2500603658	120258560	757760
2600603947	122826752	761856
2700603893	124538880	761856
2800604388	127352832	765952
2900602647	129695744	770048
3000603043	131325952	774144
3100602678	133771264	782336
3200603499	136286208	790528
3300591638	137773056	790528
3400603087	139718656	794624
3500602022	141139968	794624
3600605193	142954496	798720
3700603131	144543744	802816
3800599875	146235392	811008
3900604673	147886080	811008
4000600592	150167552	819200
4100604028	151859200	819200
4200596594	153427968	823296
4300603183	155353088	823296
4400602223	156602368	827392
4500603718	158961664	835584
4600602843	160428032	839680
4700603056	162152448	843776
4800601455	162906112	847872
4900593957	168001536	856064
5000595252	170754048	868352
5100595755	172580864	868352
5200595511	174145536	872448
5300595497	175562752	872448
5400594457	176865280	876544
5500593910	178036736	876544
5600595691	179347456	880640
5700592428	180760576	880640
5800596778	181932032	892928
5900592990	182972416	892928
6000597090	183889920	892928
6100595413	184741888	892928
6200599802	185651200	892928
6300599530	186568704	897024
6400598125	187539456	901120
6500599907	188063744	901120
6600594850	188952576	901120
6700596167	189870080	901120
6800599111	190439424	901120
6900598011	191078400	909312
7000594304	191815680	909312
7100599573	192872448	913408
7200598190	193519616	917504
7300595331	194068480	917504
7400600318	194854912	917504
7500601335	195485696	917504
7600600208	196112384	917504
7700595883	196620288	917504
7800598017	197144576	917504
7900597850	197840896	921600
8000597785	198426624	921600
8100600909	198901760	921600
8200598026	199688192	925696
8300595850	200359936	925696
8400595627	200638464	925696
8500594708	201293824	929792
8600595925	201764864	933888
8700656815	202219520	933888
8800627747	202874880	937984
8900628645	203325440	937984
9000625241	203522048	937984
9100653653	204308480	937984
9200629306	204890112	937984
9300634794	205414400	937984
9400640306	205824000	942080
9500644459	206094336	942080
9600643313	206618624	942080
9700645673	207015936	942080
9800641724	207540224	942080
9900628032	207777792	942080
10000647126	208027648	942080
10100644532	208683008	942080
10200645260	209076224	942080
10300644996	209367040	942080
10400647569	209600512	942080
10500646642	210386944	946176
10600654951	210649088	946176
10700645928	211177472	946176
10800644797	211382272	946176
10900645674	212037632	954368
11000646687	212074496	958464
11100655610	212992000	958464
11200638558	213045248	958464
11300644276	213438464	958464
11400650439	213831680	958464
11500645885	214331392	958464
11600646762	214593536	958464
11700647041	214888448	958464
11800645652	215412736	966656
11900655827	215764992	966656
12000646801	216006656	966656
12100653497	216363008	966656
12200640360	216887296	966656
12300649102	217055232	966656
12400653667	217710592	970752
12500654777	218075136	970752
12600640954	218468352	970752
12700639149	218701824	970752
12800645006	219226112	970752
12900646690	219758592	970752
13000653001	219881472	970752
13100646134	220143616	970752
13200644619	220499968	970752
13300642185	220844032	974848
13400642646	220790784	974848
13500638291	221446144	974848
13600642525	221618176	974848
13700645556	222121984	978944
13800649975	222339072	978944
13900644703	222633984	983040
14000640092	222732288	983040
14100641850	223256576	983040
14200653358	223821824	987136
14300646507	224215040	987136
14400646815	223977472	987136
