time	rss	kernel
0	921600	233472
100569348	88973312	671744
200594801	78635008	712704
300592769	46759936	724992
400594361	60149760	749568
500595350	92258304	794624
600597076	32894976	806912
700597199	32894976	806912
800597881	32894976	806912
900596652	32894976	806912
1000595432	32894976	806912
1100602974	32894976	806912
1200598789	32894976	806912
1300586590	32894976	806912
1400596356	32894976	806912
1500596261	32894976	806912
1600595151	32894976	806912
1700598676	32894976	806912
1800594195	32894976	806912
1900596334	32894976	806912
2000578771	32894976	806912
2100577733	32894976	806912
2200577287	32894976	806912
2300570688	32894976	806912
2400577917	32894976	806912
2500577900	32894976	806912
2600577942	32894976	806912
2700597146	32894976	806912
2800597236	32894976	806912
2900596624	32894976	806912
3000599539	32894976	806912
3100579364	32894976	806912
3200580172	32894976	806912
3300587536	32894976	806912
3400596364	32894976	806912
3500599928	32894976	806912
3600594709	32894976	806912
3700600654	32894976	806912
3800600182	32894976	806912
3900598482	32894976	806912
4000619062	32894976	806912
4100568687	32894976	806912
4200585061	32894976	806912
4300569511	32894976	806912
4400581607	32894976	806912
4500600303	32894976	806912
4600598169	32894976	806912
4700596229	32894976	806912
4800636624	32894976	806912
4900577256	32894976	806912
5000551578	32894976	806912
5100603314	32894976	806912
5200599517	32894976	806912
5300586235	32894976	806912
5400597376	32894976	806912
5500586044	32894976	806912
5600595141	32894976	806912
5700617492	32894976	806912
5800578370	32894976	806912
5900604885	32894976	806912
6000596663	32894976	806912
6100599476	32894976	806912
6200587099	32894976	806912
6300588006	32894976	806912
6400577999	32894976	806912
6500596695	32894976	806912
6600587789	32894976	806912
6700598720	32894976	806912
6800598212	32894976	806912
6900583001	32894976	806912
7000596712	32894976	806912
7100598912	32894976	806912
7200604892	32894976	806912
7300583945	32894976	806912
7400594086	32894976	806912
7500595626	32894976	806912
7600577387	32894976	806912
7700577771	32894976	806912
7800596344	32894976	806912
7900597774	32894976	806912
8000594785	32894976	806912
8100596186	32894976	806912
8200595113	32894976	806912
8300584558	32894976	806912
8400585197	32894976	806912
8500598646	32894976	806912
8600595202	32894976	806912
8700551439	32894976	806912
8800594592	32894976	806912
8900585104	32894976	806912
9000595194	32894976	806912
9100605806	32894976	806912
9200600839	32894976	806912
9300587538	32894976	806912
9400597574	32894976	806912
9500595303	32894976	806912
9600578282	32894976	806912
9700594189	32894976	806912
9800600114	32894976	806912
9900595821	32894976	806912
10000598165	32894976	806912
10100601716	32894976	806912
10200596126	32894976	806912
10300550573	32894976	806912
10400584099	32894976	806912
10500589702	32894976	806912
10600589478	32894976	806912
10700597461	32894976	806912
10800596593	32894976	806912
10900597058	32894976	806912
11000597844	32894976	806912
11100583145	32894976	806912
11200598464	32894976	806912
11300587627	32894976	806912
11400598310	32894976	806912
11500598444	32894976	806912
11600597061	32894976	806912
11700587174	32894976	806912
11800595431	32894976	806912
11900599653	32894976	806912
12000595964	32894976	806912
12100583755	32894976	806912
12200577987	32894976	806912
12300586151	32894976	806912
12400596887	32894976	806912
12500596497	32894976	806912
12600598070	32894976	806912
12700588447	32894976	806912
12800586268	32894976	806912
12900604381	32894976	806912
13000596578	32894976	806912
13100596069	32894976	806912
13200599531	35225600	811008
13300593259	35618816	811008
13400583560	35749888	811008
13500599433	35880960	811008
13600600685	35880960	811008
13700599428	35880960	811008
13800605565	36012032	811008
13900600060	36012032	811008
14000604977	36012032	811008
14100603467	36012032	811008
14200600536	36012032	811008
14300679261	36012032	811008
14400591576	36012032	811008
14500599549	36012032	811008
14600601107	36012032	811008
14700601281	36012032	811008
14800574667	36012032	811008
14900604056	36012032	811008
15000601761	36012032	811008
15100605665	36012032	811008
15200585153	36012032	811008
15300573915	36012032	811008
15400689558	36012032	811008
15500584940	36012032	811008
15600582294	36012032	811008
15700587461	36012032	811008
15800584288	36012032	811008
15900586552	36143104	811008
16000603351	36143104	811008
16100590202	36143104	811008
16200603663	36143104	811008
16300580419	36143104	811008
16400606285	36143104	811008
16500604918	39419904	811008
16600587121	39419904	811008
16700580730	40075264	815104
16800611454	41648128	819200
16900586077	41648128	819200
17000602287	41648128	819200
17100584483	42041344	819200
17200604789	42041344	819200
17300602523	42565632	823296
17400610038	42565632	823296
17500602284	42565632	823296
17600674259	42565632	823296
17700592550	42565632	823296
17800609927	42565632	823296
17900608657	42696704	823296
18000603977	42696704	823296
18100607921	42696704	823296
18200608029	42696704	823296
18300597526	42696704	823296
18400605024	42696704	823296
18500606268	42696704	823296
18600600656	42696704	823296
18700729629	42696704	823296
18800551916	42696704	823296
18900606118	42696704	823296
19000606751	42696704	823296
19100611207	42696704	823296
19200600745	78479360	880640
19300583387	175960064	966656
19400614418	239267840	1015808
19500601487	232050688	1015808
19600600331	181297152	1028096
19700611260	182083584	1028096
19800595545	114696192	1028096
19900727983	98775040	1028096
20000583813	101519360	1028096
20100559156	194949120	1064960
20200600219	196128768	1064960
20300597815	135213056	1355776
20400593283	96718848	1396736
20500609262	100519936	1396736
20600605153	96481280	1400832
20700603301	170385408	1400832
20800618310	245096448	1417216
20900616289	245096448	1417216
21000599400	107450368	1421312
21100594782	96759808	1421312
21200607323	96759808	1421312
21300597121	96759808	1421312
21400561173	96759808	1421312
21500594413	96759808	1421312
21600618992	96759808	1421312
21700558159	96759808	1421312
21800542997	96759808	1421312
21900577466	96759808	1421312
22000623430	96759808	1421312
22100607084	96759808	1421312
22200607553	96759808	1421312
22300594292	96759808	1421312
22400606527	96759808	1421312
22500607818	96759808	1421312
22600747322	96759808	1421312
22700611526	96759808	1421312
22800607410	96759808	1421312
22900719573	96759808	1421312
23000585444	96759808	1421312
23100604394	96759808	1421312
23200607424	96759808	1421312
23300596548	96759808	1421312
23400606896	96759808	1421312
23500602498	96759808	1421312
23600604557	96759808	1421312
23700606342	96759808	1421312
23800601727	96759808	1421312
23900607301	96759808	1421312
24000607155	96759808	1421312
24100608810	96759808	1421312
24200747797	96759808	1421312
24300592092	96759808	1421312
24400606437	96759808	1421312
24500609816	96759808	1421312
24600607795	96759808	1421312
24700590540	96759808	1421312
24800589301	96759808	1421312
24900753460	96759808	1421312
25000592045	96759808	1421312
25100583083	96759808	1421312
25200606485	96759808	1421312
25300578454	96759808	1421312
25400596627	96759808	1421312
25500606157	96714752	1421312
25600615136	96714752	1421312
25700609218	96714752	1421312
25800591885	96714752	1421312
25900611917	96714752	1421312
26000611067	96686080	1421312
26100603382	96686080	1421312
26200614180	96686080	1421312
26300583850	96686080	1421312
26400593937	96686080	1421312
26500584244	96686080	1421312
26600604340	96686080	1421312
26700607160	96686080	1421312
26800593583	96686080	1421312
26900591546	96686080	1421312
27000610160	96686080	1421312
27100592651	96686080	1421312
27200609658	96686080	1421312
27300578803	96686080	1421312
27400560689	96686080	1421312
27500557907	96686080	1421312
