time	rss	kernel
0	794624	139264
100565773	27279360	450560
200588293	40472576	512000
300549913	36532224	520192
400562639	33292288	520192
500567229	35180544	520192
600532881	36294656	561152
700534234	37687296	561152
800575234	36593664	565248
900570406	40890368	565248
1000534190	40386560	565248
1100572046	49963008	565248
1200573383	49242112	565248
1300569121	49614848	573440
1400583949	28205056	581632
1500597146	32907264	581632
1600535054	35627008	589824
1700531525	31191040	589824
1800570750	36192256	589824
1900570732	36249600	593920
2000553729	37363712	593920
2100584892	31473664	593920
2200576034	34480128	593920
2300574790	30502912	593920
2400572446	31944704	593920
2500569892	34459648	598016
2600583181	34947072	598016
2700572720	33411072	598016
2800574447	35426304	598016
2900572860	41172992	598016
3000571496	42131456	598016
3100573963	43454464	602112
3200573088	40996864	602112
3300575539	51245056	602112
3400587030	91353088	618496
3500575394	96477184	765952
3600574662	96477184	765952
3700577579	96477184	765952
3800576126	96477184	765952
3900579502	96477184	765952
4000596670	101720064	765952
4100590423	103038976	765952
4200572798	160047104	765952
4300566392	160047104	765952
4400574195	222044160	888832
4500595144	462299136	1359872
4600572530	462299136	1359872
4700571913	462299136	1359872
4800571106	462299136	1359872
4900573950	462299136	1359872
5000571038	464920576	1359872
5100568759	466100224	1363968
5200566494	469770240	1363968
5300583897	132800512	1363968
5400583957	162328576	1363968
5500568460	164950016	1363968
5600563954	166653952	1363968
5700577747	171503616	1363968
5800572876	171503616	1363968
5900573029	174030848	1363968
6000570789	174292992	1363968
6100563629	174292992	1363968
6200558174	174292992	1363968
6300565880	174292992	1363968
6400580790	165769216	1363968
6500533051	155426816	1363968
6600530225	156311552	1363968
6700526711	156311552	1363968
6800529216	155172864	1368064
6900527512	155144192	1368064
7000569609	155222016	1368064
7100570838	155594752	1368064
7200563815	155181056	1368064
7300561732	155160576	1368064
7400561407	155234304	1368064
7500560644	155181056	1368064
7600559378	154865664	1368064
7700560944	155172864	1368064
7800561530	155181056	1368064
7900563010	155197440	1368064
8000565504	159449088	1368064
8100582806	166920192	1368064
8200536475	166920192	1368064
8300582467	166920192	1368064
8400584042	166920192	1368064
8500608501	166920192	1368064
8600585985	155672576	1368064
8700588732	155308032	1368064
8800581794	155299840	1368064
8900570119	153903104	1368064
9000566070	153886720	1368064
9100566019	153968640	1368064
9200563398	153952256	1368064
9300564315	154263552	1368064
9400561640	153919488	1368064
9500526757	153870336	1368064
9600561827	153952256	1368064
9700561645	153968640	1368064
9800561356	153853952	1368064
9900560711	153903104	1368064
10000579351	165863424	1368064
10100586555	165863424	1368064
10200592174	165863424	1368064
10300571147	151871488	1368064
10400580174	297492480	1368064
10500601259	352018432	1392640
10600585494	352018432	1392640
10700591221	352018432	1392640
10800546969	352018432	1392640
10900594413	352018432	1392640
11000579060	352018432	1392640
11100599680	352018432	1392640
11200596983	352018432	1392640
11300597480	352018432	1392640
11400581491	352018432	1392640
11500578754	352018432	1392640
11600586104	352018432	1392640
11700601380	352018432	1392640
11800578675	352018432	1392640
11900577860	352018432	1392640
12000547194	385966080	1392640
12100580184	361795584	1392640
12200582009	256995328	1683456
12300589526	150851584	1683456
12400594496	147095552	1683456
12500588319	147030016	1683456
12600569263	153829376	1683456
12700571182	153960448	1683456
12800575337	154677248	1683456
12900570314	156835840	1683456
13000570214	153956352	1683456
13100572218	153190400	1683456
13200571086	151670784	1683456
13300574501	156295168	1683456
13400569563	154705920	1683456
13500562106	154705920	1683456
13600565791	154705920	1683456
13700569290	153214976	1683456
13800584525	153284608	1683456
13900569062	152645632	1683456
14000569123	153337856	1683456
14100569391	153288704	1683456
14200576018	154755072	1683456
14300573426	151113728	1683456
14400572155	154779648	1683456
14500565278	154816512	1683456
14600560567	154816512	1683456
14700554531	154816512	1683456
14800568440	156258304	1683456
14900536772	147181568	1683456
15000570005	145723392	1683456
15100567512	145776640	1683456
15200562653	145408000	1683456
15300567474	145715200	1683456
15400565828	145244160	1683456
15500561190	144740352	1683456
15600559848	144715776	1683456
15700560771	144691200	1683456
15800559710	144662528	1683456
15900559779	144674816	1683456
16000561323	144646144	1683456
16100570454	166035456	1683456
16200576884	159805440	1687552
16300570660	173367296	1687552
16400564920	175448064	1687552
16500561391	177745920	1687552
16600570493	180617216	1687552
16700575602	181927936	1687552
16800586042	202375168	1687552
16900604917	202375168	1687552
17000572114	202375168	1687552
17100602757	190672896	1687552
17200598913	177897472	1695744
17300588819	194805760	1695744
17400594571	189136896	1695744
17500584753	189136896	1695744
17600577293	189136896	1695744
17700578867	189136896	1695744
17800584246	189136896	1695744
17900562540	180453376	1695744
18000576472	180158464	1695744
18100558273	181190656	1695744
18200608186	181288960	1695744
18300585100	181997568	1695744
18400581780	183803904	1695744
18500558392	185454592	1695744
18600568139	186261504	1695744
18700578407	193863680	1695744
18800591699	193241088	1695744
18900590431	183386112	1695744
19000574276	183853056	1712128
19100594992	134606848	1720320
19200593098	134471680	1720320
19300586461	122966016	1720320
19400586380	122593280	1720320
19500566985	139653120	1724416
19600568648	123994112	1724416
19700532202	122867712	1724416
19800571047	125337600	1724416
19900577621	129077248	1724416
20000571976	132481024	1724416
20100586644	133206016	1724416
20200582560	131649536	1728512
20300533841	121008128	1728512
20400569263	121024512	1728512
20500584230	124825600	1728512
20600555464	125931520	1728512
20700536868	124207104	1728512
20800535983	123969536	1732608
20900571350	130527232	1732608
21000567882	129835008	1732608
21100568693	126963712	1732608
21200570241	127471616	1732608
21300569882	126595072	1732608
21400576052	133238784	1732608
21500583697	134279168	1736704
21600572724	27529216	290816
