time	rss	kernel
0	839680	192512
100660401	16650240	528384
200686512	39067648	585728
300670901	70545408	663552
400690661	62672896	679936
500667642	59867136	679936
600681188	68632576	679936
700666603	57102336	679936
800672281	59027456	679936
900672870	78688256	684032
1000672042	46678016	704512
1100676241	47579136	704512
1200668841	45559808	704512
1300671595	63205376	704512
1400674704	78934016	712704
1500674775	81358848	712704
1600679367	68952064	712704
1700687944	68952064	712704
1800679251	64634880	716800
1900692322	68153344	716800
2000669963	75321344	716800
2100682291	74027008	724992
2200690035	53125120	733184
2300682311	49131520	745472
2400688527	63721472	753664
2500667597	47276032	753664
2600672878	53354496	753664
2700671664	58593280	753664
2800663561	56979456	753664
2900674168	58228736	753664
3000673704	72167424	757760
3100672124	99880960	761856
3200672232	101847040	761856
3300672459	103682048	761856
3400695585	109449216	761856
3500668741	116187136	954368
3600677558	116187136	954368
3700675322	116187136	954368
3800674990	116187136	954368
3900672907	116187136	954368
4000674950	116187136	954368
4100679936	122740736	954368
4200649473	123240448	962560
4300687657	147566592	970752
4400683091	197767168	970752
4500688242	197767168	970752
4600698338	298037248	1163264
4700703930	544583680	1646592
4800692338	584822784	1724416
4900686911	584822784	1724416
5000673279	584822784	1724416
5100671208	588754944	1724416
5200672839	591900672	1724416
5300667622	593080320	1724416
5400680469	350310400	1724416
5500680932	159727616	1724416
5600679202	201932800	1724416
5700662309	209272832	1724416
5800667458	211894272	1724416
5900664528	212418560	1724416
6000668146	217391104	1724416
6100671017	217784320	1724416
6200660894	218832896	1724416
6300668019	221974528	1724416
6400671905	222105600	1724416
6500702150	222105600	1724416
6600671187	222105600	1724416
6700664782	222105600	1724416
6800666171	222105600	1724416
6900673392	212004864	1724416
7000666696	201777152	1724416
7100667305	201875456	1728512
7200659864	201756672	1728512
7300661139	201785344	1728512
7400661582	201838592	1728512
7500661763	201220096	1728512
7600660655	202235904	1728512
7700658456	201777152	1728512
7800660106	199528448	1728512
7900658616	198299648	1728512
8000657525	199483392	1728512
8100656447	199581696	1728512
8200657242	199544832	1728512
8300658956	199507968	1728512
8400661295	199532544	1728512
8500668351	207732736	1728512
8600682389	207732736	1728512
8700687807	207732736	1728512
8800699290	207732736	1728512
8900699101	207732736	1728512
9000699680	207732736	1728512
9100697575	207732736	1728512
9200693168	198725632	1728512
9300686466	198549504	1728512
9400677770	198520832	1728512
9500669406	197136384	1728512
9600660838	196333568	1728512
9700664075	197152768	1728512
9800662036	197136384	1728512
9900660794	197120000	1728512
10000657773	197148672	1728512
10100659258	197132288	1728512
10200657489	197115904	1728512
10300655874	197144576	1728512
10400660661	197124096	1728512
10500658780	197111808	1728512
10600656756	197099520	1728512
10700657829	197107712	1728512
10800659756	197140480	1728512
10900658745	197169152	1728512
11000675717	209805312	1728512
11100685394	209805312	1728512
11200692585	209805312	1728512
11300703413	209805312	1728512
11400700074	208781312	1728512
11500697506	208781312	1728512
11600701051	208781312	1728512
11700700761	195842048	1728512
11800699602	350507008	2150400
11900694258	374439936	2150400
12000680470	375336960	2154496
12100698363	469315584	2154496
12200694489	469315584	2154496
12300698792	469315584	2154496
12400698164	469315584	2154496
12500691540	469315584	2154496
12600692164	469315584	2154496
12700708019	469315584	2154496
12800683625	469315584	2154496
12900681319	469315584	2154496
13000672934	469315584	2154496
13100683090	469315584	2154496
13200697884	469315584	2154496
13300700657	469315584	2154496
13400700291	469315584	2154496
13500697351	469315584	2154496
13600702286	469315584	2154496
13700694014	469315584	2154496
13800698919	469315584	2154496
13900701220	469315584	2154496
14000699115	469315584	2154496
14100698351	469315584	2154496
14200692611	519254016	2154496
14300705302	620105728	2154496
14400686852	159051776	2154496
14500690853	385019904	2588672
14600699299	158785536	2588672
14700697717	155463680	2588672
14800684937	158740480	2588672
14900691443	158728192	2588672
15000688754	162258944	2588672
15100688445	164032512	2588672
15200687889	160006144	2588672
15300666401	161476608	2588672
15400675484	162385920	2588672
15500668075	160931840	2588672
15600686804	162619392	2588672
15700667971	162525184	2588672
15800665570	162664448	2588672
15900663851	162713600	2588672
16000673592	153763840	2588672
16100665645	155394048	2588672
16200693977	155377664	2588672
16300672362	153927680	2588672
16400677816	153948160	2588672
16500662761	153972736	2588672
16600660010	153993216	2588672
16700658187	153993216	2588672
16800656020	153358336	2588672
16900658378	153948160	2588672
17000656821	153993216	2588672
17100657286	153956352	2588672
17200655407	154005504	2588672
17300659070	153960448	2588672
17400654463	153985024	2588672
17500659397	154009600	2588672
17600660747	153903104	2588672
17700670063	229965824	2588672
17800673200	165502976	2588672
17900680915	186675200	2588672
18000675211	213643264	2588672
18100692284	241524736	2588672
18200693285	269148160	2588672
18300691774	297689088	2588672
18400688006	326492160	2588672
18500691142	354639872	2588672
18600694833	380682240	2588672
18700665778	408567808	2588672
18800680540	432238592	2588672
18900677827	436408320	2588672
19000659557	440545280	2588672
19100660989	444276736	2588672
19200666556	447721472	2588672
19300668318	451260416	2588672
19400691108	451260416	2588672
19500676221	270372864	2588672
19600690935	194576384	2588672
19700678756	194576384	2588672
19800676801	194576384	2588672
19900721989	199213056	2588672
20000681102	209960960	2588672
20100684409	210092032	2588672
20200686060	245088256	2588672
20300700668	275218432	2588672
20400692663	278634496	2596864
20500685114	282566656	2596864
20600692284	271917056	2596864
20700681167	271917056	2596864
20800678398	271917056	2596864
20900668808	271917056	2596864
21000671201	271917056	2596864
21100653962	271917056	2596864
21200669992	271917056	2596864
21300660968	271917056	2596864
21400658753	271917056	2596864
21500674100	271917056	2596864
21600671368	271917056	2596864
21700654699	271917056	2596864
21800671075	271917056	2596864
21900684043	271917056	2596864
22000678556	235515904	2596864
22100676285	235208704	2596864
22200670528	235196416	2596864
22300673661	236232704	2596864
22400674781	235786240	2596864
22500655695	235773952	2596864
22600653561	235761664	2596864
22700670303	235749376	2596864
22800670983	235737088	2596864
22900671139	235724800	2596864
23000656310	235712512	2596864
23100674741	235700224	2596864
23200683113	237797376	2596864
23300698469	237797376	2596864
23400699020	239501312	2596864
23500696929	243515392	2596864
23600683361	261214208	2596864
23700679925	264544256	2596864
23800679692	268656640	2596864
23900678099	271769600	2596864
24000667436	272027648	2596864
24100692777	272420864	2596864
24200698117	282382336	2596864
24300689926	312729600	2596864
24400684699	312729600	2596864
24500691141	268877824	2596864
24600692985	264347648	2596864
24700691446	267886592	2617344
24800687701	176029696	2637824
24900690634	175202304	2637824
25000682381	162852864	2641920
25100684955	164147200	2641920
25200691903	165720064	2646016
25300685352	166244352	2646016
25400682451	165801984	2646016
25500685831	167194624	2646016
25600693650	166449152	2646016
25700686250	168427520	2646016
25800690669	168951808	2650112
