time	rss	kernel
0	851968	192512
100544740	55529472	561152
200574989	92499968	643072
300579961	94134272	647168
400570123	101384192	659456
500560178	101347328	659456
600575886	101347328	659456
700567557	113266688	692224
800568407	123416576	716800
900564855	159985664	782336
1000555350	159985664	782336
1100564748	431435776	1310720
1200582125	687550464	1810432
1300566443	702754816	1839104
1400557815	702754816	1839104
1500552237	702754816	1839104
1600552157	702754816	1839104
1700534521	702754816	1839104
1800533365	702754816	1839104
1900534757	702754816	1839104
2000538965	702619648	1847296
2100560797	709828608	1863680
2200543720	714547200	1871872
2300549874	142041088	1871872
2400548497	157028352	1875968
2500565877	176271360	1875968
2600558651	177844224	1875968
2700547787	179417088	1875968
2800543043	184659968	1875968
2900540182	184659968	1875968
3000543590	185839616	1875968
3100546862	187150336	1875968
3200541920	188592128	1875968
3300544514	189640704	1875968
3400547573	190812160	1875968
3500545564	191991808	1875968
3600542516	209555456	1875968
3700548920	208744448	1875968
3800544440	208744448	1875968
3900548984	208744448	1875968
4000546026	208744448	1875968
4100540103	208744448	1875968
4200548869	208744448	1875968
4300546549	208744448	1875968
4400538421	208744448	1875968
4500539168	208744448	1875968
4600546679	208744448	1875968
4700543213	208744448	1875968
4800552757	189067264	1875968
4900550056	189067264	1875968
5000546710	158289920	1875968
5100541095	158265344	1875968
5200538460	158101504	1875968
5300540430	158101504	1875968
5400537723	158162944	1875968
5500536447	158154752	1875968
5600537292	158150656	1875968
5700537905	158806016	1875968
5800542706	158732288	1875968
5900543193	158806016	1875968
6000537580	158138368	1875968
6100540208	156438528	1875968
6200534366	158130176	1875968
6300535824	158109696	1875968
6400535739	158150656	1875968
6500538551	158187520	1875968
6600535400	157888512	1875968
6700536044	158142464	1875968
6800543371	158179328	1875968
6900535604	156831744	1875968
7000537510	158183424	1875968
7100536320	158175232	1875968
7200552075	167780352	1875968
7300563841	167780352	1875968
7400555797	167780352	1875968
7500545452	167780352	1875968
7600576361	167780352	1875968
7700578447	167780352	1875968
7800585497	167780352	1875968
7900572604	167780352	1875968
8000581214	167780352	1875968
8100576377	167780352	1875968
8200542454	158920704	1875968
8300547595	158916608	1875968
8400543297	158908416	1875968
8500540680	158904320	1875968
8600548823	158900224	1875968
8700545400	156209152	1875968
8800539675	156532736	1875968
8900540050	156565504	1875968
9000538728	156590080	1875968
9100541158	156614656	1875968
9200538048	155844608	1875968
9300538964	156532736	1875968
9400539114	156426240	1875968
9500537004	156581888	1875968
9600535756	156082176	1875968
9700536499	155582464	1875968
9800536558	156663808	1875968
9900533876	156557312	1875968
10000576304	156581888	1875968
10100535955	156606464	1875968
10200535780	156491776	1875968
10300534213	156655616	1875968
10400532222	156680192	1875968
10500533254	156573696	1875968
10600533754	156590080	1875968
10700536903	156622848	1875968
10800558275	168804352	1875968
10900559269	168804352	1875968
11000578812	168804352	1875968
11100582331	168804352	1875968
11200581522	168804352	1875968
11300574658	168804352	1875968
11400572697	168804352	1875968
11500581257	168804352	1875968
11600576871	153239552	1875968
