time	rss	kernel
0	692224	139264
100513597	15257600	409600
200522511	15921152	413696
300525101	17055744	430080
400523062	21864448	446464
500524393	21336064	450560
600527420	23773184	458752
700530248	20406272	458752
800525687	21716992	462848
900519482	22466560	462848
1000533547	24956928	462848
1100532963	24907776	471040
1200534734	27049984	471040
1300525189	30461952	471040
1400530948	29528064	479232
1500517794	33198080	483328
1600522530	34144256	487424
1700528135	37916672	495616
1800525955	37957632	495616
1900537394	40615936	503808
2000525302	37502976	507904
2100530653	42647552	512000
2200534363	44146688	516096
2300521543	42401792	520192
2400517494	43237376	520192
2500523729	42614784	520192
2600518431	44843008	520192
2700524196	49823744	528384
2800525349	50229248	528384
2900527919	52416512	532480
3000523154	52563968	536576
3100523202	53207040	540672
3200525328	51732480	544768
3300524726	52707328	544768
3400527669	52989952	544768
3500522267	53805056	548864
3600528218	54845440	548864
3700530401	55693312	552960
3800530206	58748928	561152
3900524342	68984832	585728
4000527797	64499712	589824
4100533812	69791744	602112
4200524735	73039872	606208
4300528343	74653696	610304
4400527325	78258176	622592
4500537902	76058624	630784
4600542991	73355264	647168
4700542172	72609792	659456
4800530520	74379264	659456
4900522967	77099008	659456
5000531084	85356544	659456
5100523256	84320256	659456
5200520963	84320256	659456
5300525935	86843392	663552
5400525679	74268672	667648
5500535913	76496896	671744
5600539876	73621504	671744
5700537530	76812288	671744
5800533305	76660736	671744
5900536451	77750272	675840
6000525815	77828096	675840
6100535149	78630912	675840
6200523642	78217216	675840
6300543218	79564800	679936
6400527439	79986688	679936
6500521207	80670720	679936
6600527047	84209664	679936
6700539044	85663744	688128
6800524296	85671936	688128
6900519831	87535616	692224
7000526510	87973888	692224
7100536432	89108480	700416
7200522083	89837568	700416
7300539963	88547328	700416
7400535601	91037696	708608
7500525334	91222016	708608
7600543359	92143616	708608
7700532047	94633984	712704
7800522986	94187520	716800
7900520268	96038912	716800
8000525545	96858112	716800
8100541970	97513472	716800
8200523872	98254848	720896
8300530841	99704832	720896
8400504328	99987456	720896
8500496570	99553280	724992
8600503757	103067648	724992
8700497502	102776832	724992
8800496767	103505920	724992
8900495056	105472000	729088
9000498237	105668608	729088
9100496196	106196992	729088
9200497252	106532864	729088
9300501318	108883968	733184
9400498012	108953600	733184
