time	rss	kernel
0	671744	139264
100550748	26628096	425984
200554408	27414528	425984
300553884	27414528	425984
400550972	27414528	425984
500555801	27414528	425984
600554553	27414528	425984
700568805	27414528	425984
800552984	27545600	425984
900557058	27545600	430080
1000556534	27545600	430080
1100557197	27676672	430080
1200555026	27779072	430080
1300556409	27910144	430080
1400555259	27910144	430080
1500556205	28041216	430080
1600551310	28303360	430080
1700554967	28434432	430080
1800554237	28434432	430080
1900550872	28434432	430080
2000554307	28434432	430080
2100554499	28434432	430080
2200554842	28565504	430080
2300552654	28565504	430080
2400555307	28565504	434176
2500556632	28827648	434176
2600553305	28827648	434176
2700555437	28827648	434176
2800557834	28958720	434176
2900565865	28958720	434176
3000559986	28958720	434176
