time	rss	kernel
0	839680	229376
100594740	5922816	593920
200601061	7757824	593920
300602127	9461760	602112
400586478	11165696	602112
500587135	11165696	602112
600568553	13000704	606208
700584848	13000704	606208
800586450	14704640	606208
900586513	14704640	606208
1000591338	16408576	614400
1100594917	16347136	614400
1200592591	16347136	614400
1300608331	18051072	614400
1400605713	18051072	614400
1500578459	18051072	614400
1600589574	19755008	618496
1700592740	19755008	618496
1800608564	19755008	618496
1900599870	21196800	618496
2000598731	21458944	622592
2100608045	21458944	622592
2200608392	21458944	622592
2300592530	21983232	626688
2400594983	21983232	626688
2500608257	21983232	626688
2600591647	21983232	626688
2700582868	22376448	626688
2800612420	22376448	626688
2900608465	22376448	626688
3000615949	22900736	626688
3100607969	22900736	626688
3200600921	22900736	626688
3300609767	22900736	626688
3400598873	23293952	626688
3500611597	23293952	626688
3600590631	23293952	626688
3700593342	23293952	626688
3800609176	23818240	626688
3900609435	23818240	626688
4000597415	23818240	626688
4100610126	24342528	626688
4200607920	24342528	626688
4300609125	24342528	626688
4400595294	24342528	626688
4500609319	23633920	626688
4600591834	23633920	626688
4700593514	23633920	626688
4800609978	23633920	626688
4900597891	23711744	626688
5000610036	23711744	626688
5100606464	23711744	626688
5200613676	23789568	626688
5300595964	23789568	626688
5400611209	23789568	626688
5500605728	23789568	626688
5600598061	23769088	626688
5700589837	23769088	626688
5800597539	23769088	626688
5900607741	23769088	626688
6000608812	23744512	626688
6100598804	23744512	626688
6200591631	23744512	626688
6300590629	23715840	626688
6400597941	23715840	626688
6500590746	23715840	626688
6600572865	23715840	626688
6700591849	23793664	626688
6800606596	23793664	626688
6900609905	23793664	626688
7000605666	23793664	626688
7100599042	23769088	626688
7200610001	23769088	626688
7300600509	23769088	626688
7400610596	23740416	626688
7500610284	23740416	626688
7600599220	23740416	626688
7700598857	23740416	626688
7800612082	23715840	626688
7900611731	23715840	626688
8000597472	23715840	626688
8100609895	23715840	626688
8200599974	23662592	626688
8300598744	23662592	626688
8400608121	23662592	626688
8500610266	23740416	626688
8600612515	23740416	626688
8700598235	23740416	626688
8800609834	23740416	626688
8900611001	23715840	626688
9000609286	23715840	626688
9100608726	23715840	626688
9200600583	23564288	626688
9300601209	23695360	626688
9400606526	23695360	626688
9500607128	23695360	626688
9600605620	23662592	626688
9700610068	23662592	626688
9800608304	23662592	626688
9900596292	23662592	626688
10000609025	23740416	626688
10100611207	23740416	626688
10200610266	23740416	626688
10300599425	23715840	626688
10400607481	23715840	626688
10500607406	23715840	626688
10600606591	23715840	626688
10700595039	23560192	626688
10800609621	23560192	626688
10900608411	23560192	626688
11000608205	23560192	626688
11100611452	23527424	626688
11200609016	23527424	626688
11300607422	23527424	626688
11400611990	23605248	626688
11500608440	23605248	626688
11600608482	23605248	626688
11700598774	23605248	626688
11800607567	23597056	626688
11900607667	23597056	626688
12000605895	23597056	626688
12100608343	23597056	626688
12200608754	23719936	626688
12300607413	23719936	626688
12400615753	23719936	626688
12500616114	23703552	626688
12600609936	23703552	626688
12700599978	23703552	626688
12800611694	23703552	626688
12900608824	23547904	626688
13000605937	23547904	626688
13100608562	23547904	626688
13200607714	23547904	626688
13300607877	23625728	626688
13400612265	23625728	626688
13500563019	23625728	626688
13600592543	23601152	626688
13700597280	23601152	626688
13800609500	23601152	626688
13900597221	23601152	626688
14000596249	23568384	626688
14100605954	23568384	626688
14200605779	23568384	626688
14300808706	23543808	626688
14400588565	23543808	626688
14500609883	23543808	626688
14600594247	23543808	626688
14700597185	23621632	626688
14800609484	23621632	626688
14900605093	23621632	626688
15000803676	23621632	626688
15100591718	23605248	626688
15200848686	23605248	626688
15300589426	23605248	626688
15400835474	23724032	626688
15500588734	23724032	626688
15600808163	23724032	626688
15700593087	23724032	626688
15800611730	23572480	626688
15900606338	23572480	626688
16000608355	23572480	626688
16100608206	23572480	626688
16200608615	23650304	626688
16300826584	23650304	626688
16400597721	23650304	626688
16500842773	23633920	626688
16600595767	23633920	626688
16700597466	23633920	626688
16800867469	23633920	626688
16900591826	23617536	626688
17000826319	23617536	626688
17100591257	23617536	626688
17200605100	23617536	626688
17300610001	23601152	626688
17400609533	23601152	626688
17500612723	23601152	626688
17600840105	23445504	626688
17700865750	23576576	626688
17800610500	23576576	626688
17900606831	23576576	626688
18000609270	23654400	626688
18100608800	23654400	626688
18200868417	23654400	626688
18300588653	23654400	626688
18400611850	23642112	626688
18500601006	23642112	626688
18600607799	23642112	626688
18700874940	23642112	626688
18800589319	23633920	626688
18900609086	23633920	626688
19000611976	23633920	626688
19100609380	23617536	626688
19200609367	23617536	626688
19300879535	23617536	626688
19400590052	23617536	626688
19500616053	23695360	626688
19600606577	23695360	626688
19700596883	23695360	626688
19800605975	23695360	626688
19900611800	23683072	626688
20000592206	23683072	626688
20100589577	23683072	626688
20200591770	23666688	626688
20300589104	23666688	626688
20400590026	23666688	626688
20500579402	23666688	626688
20600591797	23650304	626688
20700579289	23650304	626688
20800586849	23650304	626688
20900588657	23650304	626688
21000588601	23592960	626688
21100589948	23592960	626688
21200582256	23592960	626688
21300884638	23670784	626688
21400589828	23670784	626688
21500608293	23670784	626688
21600605791	23670784	626688
21700610060	23658496	626688
21800610064	23658496	626688
21900899651	23658496	626688
22000602708	23658496	626688
22100608650	23638016	626688
22200606810	23638016	626688
22300606663	23638016	626688
22400604740	23621632	626688
22500612612	23621632	626688
22600608386	23621632	626688
22700599761	23621632	626688
22800584413	23699456	626688
22900582191	23699456	626688
23000579378	23699456	626688
23100587553	23699456	626688
23200591243	23678976	626688
23300589684	23678976	626688
23400582420	23678976	626688
23500589470	23678976	626688
23600608728	23666688	626688
23700596751	23666688	626688
23800588140	23666688	626688
23900594176	23666688	626688
24000608515	23650304	626688
24100603965	23650304	626688
24200588299	23650304	626688
24300588220	23650304	626688
24400582372	23597056	626688
24500592406	23597056	626688
24600605619	23597056	626688
24700606196	23597056	626688
24800586427	23674880	626688
24900590469	23674880	626688
25000545135	23674880	626688
25100592280	23674880	626688
25200595879	23670784	626688
25300590015	23670784	626688
25400581543	23670784	626688
25500586926	23670784	626688
25600589230	23658496	626688
25700582047	23658496	626688
25800588174	23658496	626688
25900588838	23605248	626688
26000583646	23736320	626688
26100585340	23736320	626688
26200587244	23736320	626688
26300582892	23719936	626688
26400592772	23719936	626688
26500589930	23719936	626688
26600588875	23719936	626688
26700583515	23572480	626688
26800581514	23572480	626688
26900580696	23572480	626688
27000580762	23572480	626688
27100590166	23556096	626688
27200581994	23556096	626688
27300590145	23556096	626688
27400604948	23556096	626688
27500609438	23547904	626688
27600589488	23547904	626688
27700592135	23547904	626688
27800608680	23547904	626688
27900608089	23621632	626688
28000595703	23621632	626688
28100588683	23621632	626688
28200606246	23621632	626688
28300610085	23699456	626688
28400606324	23699456	626688
28500586453	23699456	626688
28600588312	23699456	626688
28700595303	23687168	626688
28800594902	23687168	626688
28900588889	23687168	626688
29000579898	23687168	626688
29100599697	23674880	626688
29200603445	23674880	626688
29300588876	23674880	626688
29400582540	23674880	626688
29500590304	23752704	626688
29600604311	23752704	626688
29700581422	23752704	626688
29800587736	23752704	626688
29900580650	23613440	626688
30000607016	23613440	626688
30100589350	23613440	626688
30200606146	23613440	626688
30300589232	23601152	626688
30400590746	23601152	626688
30500605427	23601152	626688
30600607862	23453696	626688
30700583158	23584768	626688
30800584880	23584768	626688
30900590202	23584768	626688
31000607733	23662592	626688
31100611776	23662592	626688
31200587037	23662592	626688
31300591883	23662592	626688
31400598368	23654400	626688
31500588359	23654400	626688
31600581859	23654400	626688
31700588847	23654400	626688
31800592952	23724032	626688
31900588331	23724032	626688
32000587345	23724032	626688
32100607551	23724032	626688
32200611144	23719936	626688
32300591982	23719936	626688
32400588770	23719936	626688
32500590192	23719936	626688
32600605353	23576576	626688
32700598577	23576576	626688
32800588763	23576576	626688
32900588004	23576576	626688
33000588169	23654400	626688
33100589480	23654400	626688
33200605338	23654400	626688
33300605724	23654400	626688
33400602438	23642112	626688
33500592767	23642112	626688
33600589235	23642112	626688
33700607879	23642112	626688
33800608295	23629824	630784
33900581696	23629824	630784
34000590160	23629824	630784
34100596538	23629824	630784
34200588840	23613440	630784
34300591275	23613440	630784
34400591085	23613440	630784
34500607290	23613440	630784
34600609221	23691264	630784
34700586704	23691264	630784
34800584049	23691264	630784
34900581762	23691264	630784
35000579808	23691264	630784
35100583030	23691264	630784
35200578712	23691264	630784
35300582078	23506944	630784
35400597189	23769088	630784
35500585615	23769088	630784
35600589592	23769088	630784
35700602930	23621632	630784
35800591547	23621632	630784
35900588231	23621632	630784
36000580498	23621632	630784
36100591610	23699456	630784
36200592184	23699456	630784
36300587992	23699456	630784
