time	rss	kernel
0	729088	233472
100544004	23547904	577536
200550852	38830080	606208
300572174	51388416	630784
400569006	62382080	651264
500569901	72208384	671744
600572561	81575936	688128
700572508	89956352	704512
800570875	97824768	720896
900573360	105340928	733184
1000551920	112582656	745472
1100578926	114782208	753664
1200557587	114782208	753664
1300556156	114782208	753664
1400556062	114782208	753664
1500553265	114782208	753664
1600557745	114782208	753664
1700556753	114782208	753664
1800540779	114782208	753664
1900560514	114782208	753664
2000561218	114782208	753664
2100575108	114782208	753664
2200562771	115044352	753664
2300564738	117927936	761856
2400544185	120942592	770048
2500568039	124088320	774144
2600569327	127225856	778240
2700570262	130240512	786432
2800570982	133378048	790528
2900566200	136392704	798720
3000567932	139513856	802816
3100573539	142659584	811008
3200569743	145543168	819200
3300553078	148418560	823296
3400568227	151416832	831488
3500571656	154431488	835584
3600574844	156921856	839680
3700570692	159936512	847872
3800564975	162951168	856064
3900566340	165916672	860160
4000567544	168923136	868352
4100569288	171544576	872448
4200570182	171675648	872448
4300565034	171925504	872448
4400564669	172056576	872448
4500565845	172187648	872448
4600569499	172318720	872448
4700567739	172449792	876544
4800565899	172711936	876544
4900563760	172843008	876544
5000566742	172974080	876544
5100565289	173105152	880640
5200563106	173367296	880640
5300565530	173498368	880640
5400564217	173629440	880640
5500564383	173891584	880640
5600565516	174022656	880640
5700566048	174153728	880640
5800553359	174284800	880640
5900563936	174546944	880640
6000564884	174678016	884736
6100565181	174940160	884736
6200562186	175071232	884736
6300564229	175202304	884736
6400561527	175333376	884736
6500563520	175595520	884736
6600567894	175726592	884736
6700569425	175857664	884736
6800566067	176119808	884736
6900567662	176250880	884736
7000562072	176381952	888832
7100552622	176513024	888832
7200565766	176775168	888832
7300572547	179363840	892928
7400557479	180592640	901120
7500577319	180641792	905216
7600578532	180903936	913408
7700581726	180445184	942080
7800575894	180391936	958464
7900573515	179949568	966656
8000574548	179781632	991232
8100576609	179785728	1007616
8200578033	180486144	1011712
8300572812	180465664	1015808
8400576336	180858880	1015808
8500574039	180817920	1015808
8600574079	181043200	1015808
8700572413	181256192	1015808
8800574563	180695040	1024000
8900571089	180928512	1048576
9000578203	180916224	1056768
9100576023	180817920	1077248
9200579463	181370880	1089536
9300577066	180854784	1089536
