time	rss	kernel
0	737280	192512
100500415	23277568	503808
200529866	38559744	532480
300530387	51257344	561152
400524920	61980672	581632
500527422	71528448	598016
600525069	80375808	614400
700529686	88498176	630784
800529343	95715328	643072
900530869	103948288	659456
1000536684	110628864	675840
1100529474	114966528	684032
1200487597	114966528	684032
1300472438	114966528	684032
1400475167	114966528	684032
1500473027	114966528	684032
1600473628	114966528	684032
1700473962	114966528	684032
1800474516	114966528	684032
1900472762	114966528	684032
2000473536	114966528	684032
2100474553	114966528	684032
2200474678	114966528	684032
2300472931	115621888	688128
2400478231	118112256	696320
2500480843	121126912	700416
2600481849	124141568	708608
2700480763	127016960	712704
2800480215	130031616	716800
2900481615	133038080	724992
3000479153	135921664	729088
3100483191	138911744	733184
3200473696	141926400	741376
3300481057	144809984	749568
3400477914	147562496	753664
3500482016	150437888	761856
3600483334	152911872	765952
3700480517	155664384	770048
3800481202	158547968	778240
3900480238	161300480	786432
4000479351	164184064	790528
4100480288	167141376	798720
4200480056	170024960	802816
4300480997	171728896	811008
4400478096	171978752	811008
4500477338	172109824	811008
4600476477	172240896	811008
4700477934	172371968	811008
4800479449	172503040	811008
4900474197	172765184	811008
5000475521	172896256	811008
5100476185	173027328	811008
5200476359	173158400	811008
5300477294	173289472	815104
5400480446	173551616	815104
5500477244	173682688	819200
5600477017	173813760	819200
5700476593	173944832	819200
5800476772	174075904	819200
5900476084	174338048	819200
6000496960	174469120	819200
6100477182	174600192	819200
6200474450	174731264	819200
6300477620	174862336	819200
6400473809	175124480	819200
6500475715	175255552	819200
6600476127	175386624	819200
6700476406	175648768	819200
6800478628	175779840	819200
6900475125	175910912	823296
7000477792	176041984	823296
7100477914	176173056	823296
7200476808	176435200	823296
7300477686	176566272	823296
7400475284	176697344	827392
7500476565	176828416	827392
7600482367	177324032	827392
7700487760	179924992	831488
7800485767	180797440	847872
7900509981	180854784	851968
8000489621	180809728	868352
8100488269	180613120	897024
8200485685	180359168	913408
8300488847	180252672	942080
8400489398	179990528	950272
8500488848	180834304	962560
8600488579	181022720	983040
8700490373	181329920	999424
8800488650	181534720	1024000
8900489178	181551104	1032192
9000488961	181551104	1044480
9100483597	181575680	1052672
9200483690	180801536	1077248
9300489086	181358592	1077248
9400486520	181284864	1085440
9500489344	181653504	1101824
9600490508	181751808	1105920
9700488880	181002240	1114112
9800491068	180985856	1114112
9900491080	180948992	1118208
10000489604	181669888	1118208
10100489671	181239808	1126400
10200489502	181665792	1130496
10300487463	181555200	1134592
10400489395	181694464	1138688
10500488858	181616640	1138688
10600489370	181555200	1146880
10700490503	181551104	1146880
10800488146	181108736	1155072
10900491752	181583872	1163264
11000481612	181829632	1167360
11100489519	182341632	1167360
11200489868	182063104	1167360
11300488815	181735424	1171456
11400488620	181633024	1179648
11500489273	181772288	1183744
11600491260	181522432	1200128
11700488231	181833728	1208320
11800492334	182046720	1220608
11900491033	181714944	1224704
12000488999	181710848	1224704
12100481824	181616640	1224704
12200491727	181514240	1228800
12300491198	182276096	1228800
12400489835	182276096	1236992
12500490489	181981184	1236992
12600491043	181276672	1249280
12700488419	181747712	1261568
12800488660	182198272	1265664
12900492588	182063104	1269760
13000487905	181936128	1277952
13100490023	181407744	1277952
13200485363	182394880	1282048
13300486295	182435840	1282048
13400477421	181841920	1286144
13500481983	182173696	1290240
