time	rss	kernel
0	835584	192512
100568229	25735168	536576
200598180	40792064	561152
300594232	58445824	598016
400606930	59748352	598016
500590442	60444672	606208
600592354	61292544	606208
700593782	61911040	610304
800593939	63111168	610304
900592823	63741952	618496
1000574715	68177920	634880
1100591671	68501504	655360
1200602024	67948544	675840
1300593746	68182016	712704
1400589055	68063232	745472
1500618490	69844992	757760
1600570071	66871296	778240
1700590051	65429504	798720
1800599103	65130496	835584
1900589068	64253952	851968
2000609976	64454656	888832
2100585022	63074304	913408
2200597186	63045632	950272
2300587133	65929216	950272
2400587867	64552960	962560
2500600397	63475712	991232
2600595881	62820352	1015808
2700592171	62664704	1052672
2800598551	61693952	1060864
2900588632	61784064	1093632
3000598790	59105280	1118208
3100583692	59187200	1155072
3200597523	58994688	1187840
3300585792	59957248	1196032
3400567477	57012224	1241088
3500573184	56971264	1265664
3600608191	57552896	1282048
3700598412	54173696	1310720
3800591705	53792768	1351680
3900594864	56283136	1351680
4000601006	55148544	1384448
4100574355	51159040	1413120
4200582550	53387264	1413120
4300614707	52375552	1425408
4400603238	50208768	1433600
4500599513	50167808	1433600
4600589651	49000448	1433600
4700600982	45047808	1433600
4800622782	44507136	1433600
4900598357	44773376	1433600
