time	rss	kernel
0	856064	196608
100560198	25485312	528384
200589154	39247872	557056
300622196	58093568	593920
400578214	76689408	622592
500580706	95227904	659456
600575051	113577984	696320
700581253	132190208	741376
800573356	150638592	778240
900579221	169242624	815104
1000577719	187707392	843776
1100574922	205664256	880640
1200581105	224014336	921600
1300576486	242495488	954368
1400582054	261107712	995328
1500582444	279588864	1028096
1600578422	297742336	1060864
1700578996	315830272	1097728
1800580590	334295040	1130496
1900577449	352743424	1163264
2000577618	370700288	1204224
2100572398	388788224	1236992
2200579716	407269376	1273856
2300580679	425881600	1314816
2400578282	444485632	1347584
2500577813	462442496	1380352
2600580982	480661504	1421312
2700576433	499273728	1454080
2800578274	517623808	1490944
2900581253	535842816	1523712
3000578353	553799680	1556480
3100574048	556290048	1564672
3200574475	556421120	1564672
3300609758	556421120	1564672
3400575932	556421120	1564672
3500591725	556552192	1564672
3600599242	558014464	1564672
3700597465	557977600	1564672
3800594906	558047232	1568768
3900592372	557924352	1572864
4000574698	558354432	1572864
4100573148	558198784	1572864
4200575715	558923776	1576960
4300575936	558563328	1581056
4400579762	558817280	1581056
4500578434	558112768	1585152
4600577414	558342144	1585152
4700577049	559652864	1585152
4800579230	560730112	1589248
4900577678	560140288	1593344
5000576353	560762880	1593344
5100573930	562630656	1605632
5200574716	561156096	1605632
5300573795	561291264	1609728
5400575398	561065984	1609728
5500577058	560603136	1609728
5600578670	560435200	1609728
5700575009	562053120	1617920
5800540985	561311744	1617920
5900575209	563363840	1630208
6000574542	562909184	1630208
6100570182	562126848	1630208
6200575148	563867648	1638400
6300574842	562769920	1638400
6400574889	562003968	1642496
6500572193	561557504	1642496
6600572101	561004544	1642496
6700576885	561827840	1650688
6800571595	561242112	1650688
6900573310	560308224	1650688
7000571661	561733632	1658880
7100573849	562102272	1658880
7200570089	562556928	1662976
7300578671	564518912	1683456
7400571708	566759424	1691648
7500577080	567701504	1699840
7600573466	567824384	1703936
7700571781	567164928	1708032
7800573854	566878208	1708032
7900574935	566005760	1712128
8000574197	565194752	1712128
8100571286	565358592	1716224
8200574253	565571584	1724416
8300540578	564989952	1724416
8400576060	567480320	1728512
8500574962	565866496	1732608
8600576857	566124544	1732608
8700577287	572932096	1736704
8800576448	569806848	1744896
8900575145	571965440	1753088
9000579081	568594432	1757184
9100572042	571678720	1769472
9200574734	572309504	1777664
9300574200	575074304	1781760
9400577523	579969024	1785856
9500579680	577490944	1794048
9600586557	577941504	1810432
9700584716	577654784	1835008
9800582610	575426560	1851392
9900574611	575348736	1867776
10000572476	580722688	1867776
10100576798	577179648	1892352
10200569157	579104768	1908736
10300586809	578629632	1929216
10400582696	577421312	1949696
10500577329	579072000	1970176
10600578999	576188416	1990656
10700573237	575864832	2011136
10800580464	582418432	2015232
10900577802	581644288	2039808
11000581168	578043904	2060288
11100575247	579469312	2064384
11200578365	582877184	2068480
11300575615	584986624	2072576
11400576748	587968512	2080768
11500567623	589127680	2080768
11600577343	561836032	2088960
11700579853	566554624	2088960
11800580010	567365632	2117632
11900579493	567287808	2134016
12000580839	564715520	2150400
12100570891	565231616	2179072
12200620627	563556352	2207744
12300574049	563671040	2224128
12400574226	568651776	2224128
12500571468	564596736	2248704
12600579931	564473856	2269184
12700575057	565174272	2281472
12800579915	564207616	2301952
12900574571	563056640	2322432
13000578495	561635328	2342912
13100569533	566878208	2342912
13200573777	567742464	2359296
13300573391	566398976	2375680
13400577173	565190656	2392064
13500574728	563068928	2412544
13600583623	564371456	2433024
13700574097	562167808	2449408
13800583466	567148544	2449408
13900579413	566415360	2465792
14000572716	565620736	2490368
14100577492	563613696	2506752
14200573807	564256768	2523136
14300578832	561852416	2543616
14400582131	568668160	2547712
14500578866	566792192	2564096
14600575480	565104640	2592768
14700577064	564322304	2617344
14800571161	568647680	2617344
14900576488	568324096	2617344
15000570220	573698048	2617344
15100567688	575926272	2617344
15200581503	579072000	2621440
15300570154	583004160	2625536
15400575972	587329536	2633728
15500570663	584527872	2641920
15600576386	585797632	2650112
15700575836	589860864	2650112
15800569003	589709312	2654208
15900572488	537788416	2666496
16000578702	537182208	2682880
16100579744	538624000	2682880
16200577487	538800128	2703360
16300578874	538951680	2723840
16400579218	537354240	2740224
16500584363	536444928	2764800
16600579954	540114944	2768896
16700575788	538439680	2785280
16800577805	541192192	2789376
16900569990	541433856	2809856
17000567505	542015488	2818048
17100577708	542801920	2818048
17200583252	533929984	2826240
17300573249	532426752	2846720
17400575288	530673664	2867200
17500579673	528625664	2887680
17600578732	529858560	2908160
17700572454	529256448	2924544
17800572689	529506304	2945024
17900581909	534487040	2945024
18000574964	532295680	2965504
18100576716	531156992	2985984
18200578403	530636800	3010560
18300578289	529010688	3026944
18400615706	527691776	3043328
18500572152	529510400	3055616
18600574264	532262912	3055616
18700585527	532750336	3072000
18800583022	532766720	3096576
18900573803	532983808	3108864
19000623567	532037632	3133440
19100571739	530214912	3162112
19200580319	529690624	3178496
19300571719	530284544	3207168
19400573628	529612800	3227648
19500583643	529072128	3248128
19600580363	532611072	3248128
