time	rss	kernel
0	712704	192512
100663955	9764864	536576
200657478	9764864	536576
300682573	9764864	536576
400668458	9703424	536576
500665278	9703424	536576
600667244	9703424	536576
700658563	9703424	536576
800671008	9703424	536576
900665365	9703424	536576
1000664259	9703424	536576
1100667179	9703424	536576
1200652444	9703424	536576
1300665236	9703424	536576
1400621969	9703424	536576
1500654170	9703424	536576
1600665003	9703424	536576
1700664938	9703424	536576
1800656064	9703424	536576
1900655775	5861376	536576
2000665194	7565312	540672
2100655128	7696384	540672
2200646537	7827456	540672
2300670547	7827456	540672
2400666175	7958528	540672
2500667947	8220672	540672
2600665249	8220672	540672
2700655001	8220672	540672
2800669525	8220672	540672
2900668825	14401536	544768
3000669495	15056896	544768
3100655675	15056896	544768
3200655003	15056896	544768
3300656699	15056896	544768
3400666543	15056896	544768
3500666407	15056896	544768
3600653270	15056896	544768
3700664902	15056896	544768
3800669367	15056896	544768
3900683213	15056896	544768
4000682477	15056896	544768
4100683732	15056896	544768
4200655428	15056896	544768
4300682759	15056896	544768
4400669540	15056896	544768
4500684441	15056896	544768
4600673638	15056896	544768
4700685712	15056896	544768
4800682070	15056896	544768
4900686459	15056896	544768
5000683068	15056896	544768
5100671039	15056896	544768
5200670857	15056896	544768
5300685955	15056896	544768
5400670990	15056896	544768
5500666796	15056896	544768
5600664008	15056896	544768
5700665930	15056896	544768
5800655618	15056896	544768
