time	rss	kernel
0	802816	229376
100541436	12214272	479232
200564280	12058624	479232
300554957	12058624	479232
400561693	12058624	479232
500565717	12058624	479232
600568137	12058624	483328
700566944	17694720	495616
800573671	17694720	495616
900557571	17694720	495616
1000567792	17694720	495616
1100563617	17694720	495616
1200567191	17694720	495616
1300568534	17694720	495616
1400571497	24903680	507904
1500570444	24903680	507904
1600558814	24903680	507904
1700570501	24903680	507904
1800560395	24903680	507904
1900570976	24903680	507904
