time	rss	kernel
0	794624	229376
100546138	36831232	520192
200570963	36777984	520192
300551529	36777984	520192
400568308	36777984	520192
500542862	36777984	520192
600549428	37302272	524288
700560763	37302272	524288
800550618	37302272	524288
900557285	42151936	532480
1000545956	42151936	532480
1100553164	42151936	532480
1200552617	42151936	532480
1300556818	42151936	532480
1400545601	42151936	532480
1500554162	42938368	532480
1600541711	42938368	532480
1700560416	49229824	544768
1800557148	49229824	544768
1900556442	49229824	544768
2000583642	49229824	544768
2100563728	49229824	544768
2200575564	49229824	544768
2300577402	50147328	548864
2400562233	50147328	548864
