time	rss	kernel
0	884736	229376
100554078	45338624	573440
200581193	63655936	614400
300601272	71127040	630784
400577739	84824064	671744
500579059	196759552	901120
600571013	199761920	909312
700574342	86937600	909312
800574866	97685504	909312
900557287	99782656	909312
1000570176	103583744	909312
1100588222	98193408	909312
1200540588	91914240	909312
1300580467	90775552	909312
1400573621	90525696	909312
1500580310	101998592	909312
1600574009	90619904	909312
1700578480	90398720	909312
1800572527	89243648	909312
1900582024	100909056	909312
2000596450	100909056	909312
2100585913	157663232	909312
2200581441	187285504	921600
2300581853	187285504	921600
2400578618	187285504	921600
2500538426	187285504	921600
2600570892	187285504	921600
2700578228	187285504	921600
2800586521	187285504	921600
2900573889	187285504	921600
3000592940	231718912	1019904
3100597424	213757952	1142784
3200582063	94425088	1142784
3300582536	90046464	1142784
3400592211	93982720	1142784
3500585921	94105600	1142784
3600557602	92438528	1142784
3700556967	92622848	1142784
3800474823	93569024	1142784
3900561243	101462016	1142784
4000560165	114032640	1142784
4100541157	119226368	1142784
4200582611	121782272	1142784
4300574943	121413632	1142784
4400599097	129933312	1142784
4500582284	129933312	1142784
4600596900	129933312	1142784
4700596382	129933312	1142784
4800596747	129933312	1142784
4900584493	129933312	1142784
5000594428	129933312	1142784
5100596862	129933312	1142784
5200599112	129933312	1142784
5300593527	129933312	1142784
5400586946	129933312	1142784
5500595817	129933312	1142784
5600596686	129933312	1142784
5700593626	129933312	1142784
5800585161	129933312	1142784
5900544983	129933312	1142784
6000579108	104431616	1142784
6100567234	123895808	1142784
6200576750	139763712	1142784
6300578349	142123008	1142784
6400580356	135864320	1142784
6500549649	135864320	1142784
6600572015	120696832	1142784
6700570517	120946688	1142784
6800587197	121208832	1142784
6900540723	121069568	1142784
7000568914	121102336	1142784
7100504238	124162048	1142784
7200583835	120872960	1146880
7300586985	85303296	1159168
7400538970	70959104	1167360
7500593658	75677696	1167360
7600587807	140627968	1167360
7700575857	196726784	1171456
7800587866	80576512	1171456
7900577612	89886720	1171456
8000556914	97095680	1171456
8100599884	101400576	1175552
8200562400	101400576	1175552
8300561106	85385216	1175552
8400576282	82952192	1175552
8500571752	82722816	1175552
8600593341	94302208	1175552
8700588926	94302208	1175552
8800575609	82690048	1175552
8900590318	82681856	1175552
9000568297	81825792	1175552
9100568430	93179904	1175552
9200596901	93179904	1175552
9300578655	179687424	1175552
9400582999	179687424	1175552
9500573406	179687424	1175552
9600489156	179687424	1175552
9700584712	179687424	1175552
9800583815	179687424	1175552
9900572850	179687424	1175552
10000565858	179687424	1175552
10100565268	179687424	1175552
10200581758	198066176	1294336
10300593288	83791872	1294336
10400582544	85385216	1294336
10500579141	85524480	1294336
10600574160	82137088	1294336
10700575502	81395712	1294336
10800573650	81121280	1294336
10900583043	105902080	1294336
11000566210	87945216	1294336
11100567196	89665536	1294336
11200576560	89796608	1294336
11300589770	97419264	1294336
11400591413	97419264	1294336
11500594348	97419264	1294336
11600546246	97419264	1294336
11700573421	97419264	1294336
11800586986	97419264	1294336
11900596220	97419264	1294336
12000582663	97419264	1294336
12100576137	97419264	1294336
12200550783	97419264	1294336
12300537241	97419264	1294336
12400541358	97419264	1294336
12500538265	97419264	1294336
12600532722	95236096	1298432
12700525521	123809792	1298432
12800532957	126111744	1306624
12900531350	120152064	1306624
13000521010	120152064	1306624
13100541495	105021440	1306624
13200522311	105431040	1306624
13300517093	105431040	1306624
13400531308	105824256	1306624
13500531718	105373696	1306624
13600526394	105889792	1306624
13700531923	115326976	1306624
13800529341	104673280	1327104
