time	rss	kernel
0	946176	229376
100645995	27557888	552960
200656799	40775680	610304
300652830	36700160	622592
400630457	33464320	622592
500634718	35516416	622592
600630881	36499456	663552
700632987	38023168	663552
800638503	36794368	667648
900645529	41095168	667648
1000647114	40583168	667648
1100634218	49573888	667648
1200635237	49852416	667648
1300632777	50978816	675840
1400631141	30175232	684032
1500631167	31453184	684032
1600631972	31412224	688128
1700640155	32071680	688128
1800641604	35323904	688128
1900642190	38813696	692224
2000639505	34140160	692224
2100641994	33841152	692224
2200634997	35930112	692224
2300635608	31625216	692224
2400646640	30457856	696320
2500638366	32145408	696320
2600633585	37404672	696320
2700639686	35803136	696320
2800639641	39071744	696320
2900633522	38064128	696320
3000635711	44171264	696320
3100642166	44961792	704512
3200640668	43360256	704512
3300642150	66863104	716800
3400645628	91504640	716800
3500644562	96759808	872448
3600629922	96759808	872448
3700630769	96759808	872448
3800632781	96759808	872448
3900638292	99643392	872448
4000639432	103452672	872448
4100620507	116498432	872448
4200606116	160407552	872448
4300599443	160407552	872448
4400617908	324771840	1196032
4500609549	462659584	1466368
4600604156	462659584	1466368
4700606460	462659584	1466368
4800601951	462659584	1466368
4900605874	462659584	1466368
5000603501	465936384	1470464
5100606661	469213184	1470464
5200604470	131981312	1470464
5300614068	147615744	1470464
5400608622	164392960	1470464
5500600809	165703680	1470464
5600600231	167407616	1470464
5700603081	171995136	1470464
5800613985	173699072	1470464
5900604058	174665728	1470464
6000596609	174665728	1470464
6100593085	174665728	1470464
6200594970	174665728	1470464
6300612184	166141952	1470464
6400603572	156749824	1470464
6500601826	156815360	1470464
6600599268	156749824	1470464
6700596512	156717056	1470464
6800599699	155594752	1474560
6900599555	155688960	1478656
7000598310	155631616	1478656
7100597993	155676672	1478656
7200597640	155619328	1478656
7300597159	155631616	1478656
7400595890	155377664	1478656
7500595975	155553792	1478656
7600596258	155631616	1478656
7700595540	155643904	1478656
7800597559	155652096	1478656
7900596724	155602944	1478656
8000611855	170741760	1478656
8100615322	170741760	1478656
8200612849	170741760	1478656
8300613234	170741760	1478656
8400614075	170741760	1478656
8500618250	156094464	1478656
8600609582	155746304	1478656
8700613305	155721728	1478656
8800608511	154226688	1478656
8900601241	154374144	1478656
9000600250	154324992	1478656
9100600637	154374144	1478656
9200600444	154357760	1478656
9300600205	154308608	1478656
9400597932	154390528	1478656
9500595427	154341376	1478656
9600595559	154292224	1478656
9700597248	154001408	1478656
9800595161	154390528	1478656
9900610262	166318080	1478656
10000615857	166318080	1478656
10100615565	166318080	1478656
10200610050	152326144	1478656
10300613969	297947136	1478656
10400608933	352473088	1499136
10500605349	352473088	1499136
10600608060	352473088	1499136
10700602876	352473088	1499136
10800607864	352473088	1499136
10900608674	352473088	1499136
11000601268	352473088	1499136
11100607155	352473088	1499136
11200608973	352473088	1499136
11300606761	352473088	1499136
11400602660	352473088	1499136
11500603511	352473088	1499136
11600606114	352473088	1499136
11700609013	352473088	1499136
11800607183	352473088	1499136
11900614053	402935808	1499136
12000607905	362250240	1499136
12100616558	287727616	1789952
12200605106	151175168	1789952
12300614563	150302720	1789952
12400615177	150368256	1789952
12500602118	154152960	1789952
12600607094	152768512	1789952
12700609156	154910720	1789952
12800608048	154935296	1789952
12900610784	154890240	1789952
13000612261	154898432	1789952
13100611590	153493504	1789952
13200611024	152854528	1789952
13300603884	155029504	1789952
13400597497	155029504	1789952
13500605239	155029504	1789952
13600609150	153636864	1789952
13700606284	153354240	1789952
13800606092	152969216	1789952
13900605923	153550848	1789952
14000610546	153567232	1789952
14100606032	155115520	1789952
14200613064	155090944	1789952
14300611499	151035904	1789952
14400605513	155140096	1789952
14500597109	155140096	1789952
14600606867	155140096	1789952
14700607830	147513344	1789952
14800608146	146067456	1789952
14900604157	146444288	1789952
15000599309	146124800	1789952
15100597439	146079744	1789952
15200596766	146415616	1789952
15300597575	145018880	1789952
15400595276	145117184	1789952
15500597675	145092608	1789952
15600598089	145068032	1789952
15700596966	145084416	1789952
15800601790	145072128	1789952
15900615078	208056320	1789952
16000613447	166416384	1789952
16100613505	167366656	1798144
16200607326	174624768	1798144
16300599093	176791552	1798144
16400603307	179220480	1798144
16500612694	182280192	1798144
16600610102	182280192	1798144
16700606440	202727424	1798144
16800611025	202727424	1798144
16900605939	191168512	1798144
17000605925	178139136	1802240
17100615620	193343488	1802240
17200608587	196751360	1802240
17300628072	189517824	1802240
17400596305	189517824	1802240
17500591738	189517824	1802240
17600606186	189517824	1802240
17700606457	180965376	1802240
17800595381	180674560	1802240
17900590921	181706752	1806336
18000609398	181673984	1806336
18100615362	181399552	1806336
18200605272	183336960	1806336
18300598693	185118720	1806336
18400605984	186511360	1806336
18500608476	192278528	1806336
18600614706	212594688	1806336
18700609898	193167360	1806336
18800609220	183566336	1806336
18900615302	124325888	1830912
19000612282	134639616	1830912
19100603834	123228160	1830912
19200605038	122867712	1830912
19300611764	139886592	1830912
19400610370	123691008	1830912
19500610222	123097088	1830912
19600615195	127098880	1830912
19700617418	129433600	1830912
19800618215	132849664	1830912
19900615326	132263936	1830912
20000615118	131952640	1835008
20100609605	120803328	1835008
20200609109	121135104	1835008
20300615809	125198336	1835008
20400612066	128135168	1835008
20500608109	123871232	1835008
20600613040	128782336	1839104
20700617578	124645376	1839104
20800615481	130043904	1839104
20900613481	138129408	1839104
21000610856	127418368	1839104
21100608410	126922752	1843200
21200609936	132222976	1843200
21300614869	134574080	1843200
21400607143	131067904	1847296
