time	rss	kernel
0	757760	192512
100559402	13987840	462848
200569219	51712000	548864
300576211	62963712	577536
400577476	73318400	598016
500571989	79216640	618496
600567642	88260608	634880
700594610	88260608	634880
800592934	94834688	655360
900591840	96374784	667648
1000589525	159117312	778240
1100569624	159117312	778240
1200595524	198307840	856064
1300597795	442363904	1335296
1400611173	442363904	1335296
1500596750	442363904	1335296
1600586331	442363904	1335296
1700588997	446164992	1347584
1800569359	447344640	1347584
1900571397	127016960	1355776
2000576917	144916480	1355776
2100613138	169558016	1355776
2200586885	172441600	1355776
2300574460	177160192	1355776
2400573148	178208768	1355776
2500567894	179642368	1355776
2600566413	183701504	1355776
2700567002	183963648	1355776
2800573033	183963648	1355776
2900565774	183963648	1355776
3000571296	173379584	1355776
3100570763	164622336	1355776
3200568320	164995072	1355776
3300565303	164753408	1355776
3400566728	164253696	1355776
3500562473	165072896	1355776
3600560630	161792000	1355776
3700559117	161488896	1355776
3800563405	161513472	1355776
3900559548	161538048	1355776
4000557232	161435648	1355776
4100557955	161452032	1355776
4200563772	161472512	1355776
4300573467	170631168	1355776
4400579194	170631168	1355776
4500585689	170631168	1355776
4600598987	170631168	1355776
4700595167	170631168	1355776
4800605908	161550336	1355776
4900604096	160821248	1355776
5000574513	160813056	1355776
5100588254	159657984	1355776
5200562875	159629312	1355776
5300567936	159617024	1355776
5400563508	159670272	1355776
5500563165	159645696	1355776
5600560355	159612928	1355776
5700562475	159633408	1355776
5800560292	159608832	1355776
5900559258	159629312	1355776
6000557565	159735808	1355776
6100560920	159711232	1355776
6200572674	171995136	1355776
6300586457	171995136	1355776
6400604017	171995136	1355776
6500602615	171995136	1355776
6600587945	157335552	1355776
6700591907	237944832	1355776
6800612947	350404608	1355776
6900599684	289198080	1355776
7000596367	352636928	1355776
7100584747	352636928	1355776
7200598796	352636928	1355776
7300597567	352636928	1355776
7400594029	352636928	1355776
7500597586	352636928	1355776
7600598646	352636928	1355776
7700600426	352636928	1355776
7800622621	352636928	1355776
7900614654	352636928	1355776
8000572160	352636928	1355776
8100583863	352636928	1355776
8200605720	352636928	1355776
8300603672	352636928	1355776
8400599124	352636928	1355776
8500586161	352636928	1355776
8600581665	352636928	1355776
8700614803	352636928	1355776
8800602196	352636928	1355776
8900602807	352636928	1355776
9000588549	352636928	1355776
9100601835	352636928	1355776
9200602458	352636928	1355776
9300597077	413192192	1445888
9400596105	391106560	1556480
9500595993	286109696	1880064
9600601010	130883584	1880064
9700588116	127025152	1884160
9800584544	126738432	1884160
9900585993	132517888	1884160
10000589189	132632576	1884160
10100581468	130273280	1884160
10200580141	133005312	1884160
10300570315	132698112	1884160
10400588504	132984832	1884160
10500581227	133074944	1884160
10600576455	135499776	1884160
10700573382	133349376	1884160
10800572683	133275648	1884160
10900569568	128712704	1884160
11000576693	129880064	1884160
11100567865	128851968	1884160
11200562943	129212416	1884160
11300562266	129884160	1884160
11400564139	129966080	1884160
11500561275	130146304	1884160
11600561105	130605056	1884160
11700563357	131186688	1884160
11800562423	131727360	1884160
11900558093	132317184	1884160
12000560349	132866048	1884160
12100579161	223940608	1884160
12200574049	165183488	1884160
12300574401	176570368	1884160
12400587718	203137024	1884160
12500580268	229982208	1884160
12600576524	234373120	1884160
12700561842	238764032	1884160
12800563630	242999296	1884160
12900571419	245719040	1884160
13000596880	173113344	1884160
13100582402	187854848	1884160
13200585586	162004992	1888256
13300573357	170917888	1888256
13400598288	197394432	1888256
13500601275	226344960	1888256
13600591057	230670336	1888256
13700593252	223473664	1888256
13800581022	223473664	1888256
13900575214	223473664	1888256
14000570544	223473664	1888256
14100576202	223473664	1888256
14200572931	223473664	1888256
14300570860	223473664	1888256
14400569488	223473664	1888256
14500579587	223473664	1888256
14600577288	196866048	1888256
14700590566	198295552	1888256
14800581761	196096000	1888256
14900576761	196452352	1888256
15000569413	196435968	1888256
15100574311	197472256	1888256
15200572782	196902912	1888256
15300573646	196890624	1888256
15400571471	197009408	1888256
15500555342	196997120	1888256
15600574773	196984832	1888256
15700580796	196972544	1888256
15800597871	197103616	1888256
15900587839	197103616	1888256
16000570388	197103616	1888256
16100576067	197103616	1888256
16200584828	195702784	1888256
16300576796	198062080	1888256
16400580851	201535488	1888256
16500597817	203698176	1888256
16600603790	205271040	1888256
16700588951	214577152	1888256
16800594314	237465600	1888256
16900585151	213127168	1888256
17000586660	224923648	1888256
17100599439	214831104	1888256
17200588398	150515712	1921024
17300579107	127430656	1921024
17400588593	134676480	1921024
17500587579	129871872	1921024
17600601222	130777088	1921024
17700572585	133349376	1929216
17800585077	128049152	1929216
17900595117	128835584	1929216
18000590120	128974848	1929216
18100601894	130756608	1933312
18200584789	130764800	1933312
18300589554	130584576	1933312
