time	rss	kernel
0	720896	229376
100518642	53420032	630784
200527402	92549120	716800
300515706	93716480	737280
400532631	100638720	749568
500538926	100864000	749568
600552595	100864000	749568
700551324	109547520	774144
800546500	121008128	798720
900542260	159490048	868352
1000532636	159449088	868352
1100538185	416219136	1368064
1200538604	632487936	1789952
1300501874	702218240	1929216
1400530926	702218240	1929216
1500510307	702218240	1929216
1600508203	702218240	1929216
1700509023	702218240	1929216
1800510275	702218240	1929216
1900510866	702218240	1929216
2000513109	701952000	1949696
2100517651	707850240	1957888
2200521535	713879552	1970176
2300484387	140980224	1970176
2400526002	148889600	1974272
2500522816	175628288	1974272
2600516873	177463296	1974272
2700524727	179036160	1974272
2800517872	184279040	1974272
2900522045	184541184	1974272
3000514922	185589760	1974272
3100520671	186900480	1974272
3200520226	188211200	1974272
3300454522	189521920	1974272
3400521656	190693376	1974272
3500520871	191873024	1974272
3600522454	209436672	1974272
3700525583	208232448	1974272
3800517106	208232448	1974272
3900513533	208232448	1974272
4000516391	208232448	1974272
4100525269	208232448	1974272
4200521937	208232448	1974272
4300519550	208232448	1974272
4400520274	208232448	1974272
4500514023	208232448	1974272
4600517674	208232448	1974272
4700525478	208232448	1974272
4800532073	188555264	1974272
4900526246	157671424	1974272
5000523972	157646848	1974272
5100513696	157757440	1974272
5200511663	157589504	1974272
5300515725	156835840	1974272
5400512029	158162944	1974272
5500511692	157573120	1974272
5600512940	157634560	1974272
5700516305	157560832	1974272
5800516093	157634560	1974272
5900514993	157573120	1974272
6000516511	158167040	1974272
6100515061	157638656	1974272
6200512700	157618176	1974272
6300512857	157523968	1974272
6400512270	157589504	1974272
6500510408	156053504	1974272
6600511767	157011968	1974272
6700519146	157642752	1974272
6800517151	157548544	1978368
6900510949	156803072	1978368
7000509055	156839936	1978368
7100511599	157663232	1978368
7200532812	167297024	1978368
7300534168	167297024	1978368
7400528518	167297024	1978368
7500531281	167297024	1978368
7600537420	167297024	1978368
7700581933	167297024	1978368
7800554707	167297024	1978368
7900550107	167297024	1978368
8000554236	167297024	1978368
8100558953	167297024	1978368
8200521295	158306304	1978368
8300518715	158298112	1978368
8400518550	158294016	1978368
8500521688	158285824	1978368
