time	rss	kernel
0	688128	139264
100548585	15314944	466944
200560703	15941632	466944
300552524	16945152	487424
400559847	22016000	503808
500554900	21336064	507904
600561270	23773184	520192
700557701	20520960	520192
800558875	21700608	524288
900566580	22319104	524288
1000565288	25202688	524288
1100562282	24498176	528384
1200557054	26312704	528384
1300554411	29724672	528384
1400562858	30220288	532480
1500561540	31412224	544768
1600557491	32423936	548864
1700564715	36601856	552960
1800551911	37171200	557056
1900561061	40628224	565248
2000556776	38019072	565248
2100557656	43675648	569344
2200559334	41766912	573440
2300558166	41684992	577536
2400557532	42258432	577536
2500556673	42700800	577536
2600557559	44244992	577536
2700559297	49324032	585728
2800559983	49815552	589824
2900594050	50896896	593920
3000555249	53628928	598016
3100560975	53301248	602112
3200559356	53399552	602112
3300559204	52981760	606208
3400555871	52002816	606208
3500556365	52969472	606208
3600572267	55197696	610304
3700561990	54935552	614400
3800554548	56102912	618496
3900555692	63397888	638976
4000561454	68894720	651264
4100564157	67526656	659456
4200561530	73555968	663552
4300559144	72384512	663552
4400559209	73793536	675840
4500561854	75493376	692224
4600560787	80818176	712704
4700560172	86061056	712704
4800601760	74309632	720896
4900555784	74104832	720896
5000562605	79642624	720896
5100569504	85159936	720896
5200558951	85159936	720896
5300559879	83709952	720896
5400563671	87117824	729088
5500557919	85716992	733184
5600557619	76726272	737280
5700561716	75329536	737280
5800563514	75100160	737280
5900561629	76062720	737280
6000565145	77766656	741376
6100562213	78184448	741376
6200573940	78725120	741376
6300562817	78487552	741376
6400559391	80543744	745472
6500562300	80109568	745472
6600557637	81317888	745472
6700555229	84344832	753664
6800556527	85970944	757760
6900557201	86654976	757760
7000559611	87715840	761856
7100555491	87642112	765952
7200566488	89284608	770048
7300559214	90279936	770048
7400574849	88600576	770048
7500567848	91090944	778240
7600557453	91250688	778240
7700557454	92413952	778240
7800560642	94773248	778240
7900576168	94560256	782336
8000558344	95776768	782336
8100558713	97873920	782336
8200561832	97775616	782336
8300557680	98013184	786432
8400569291	99872768	786432
8500561605	99991552	786432
8600556859	99799040	790528
8700558267	102793216	790528
8800909694	103448576	790528
8900562028	103686144	790528
9000572961	103497728	794624
9100586425	105734144	794624
9200574165	106156032	794624
9300577215	105959424	794624
9400561752	109166592	798720
9500557847	109006848	798720
9600557670	108957696	798720
