time	rss	kernel
0	724992	229376
100587317	15839232	507904
200617177	36339712	561152
300619523	35360768	606208
400617471	42479616	614400
500619275	37900288	614400
600616682	35987456	618496
700617222	44883968	622592
800618314	46657536	630784
900624074	37130240	634880
1000619231	41648128	634880
1100619415	42041344	634880
1200615837	43040768	634880
1300628964	44089344	634880
1400613335	42930176	638976
1500618100	40067072	638976
1600617578	41099264	638976
1700615289	39694336	643072
1800626707	42446848	643072
1900609598	49225728	643072
2000617152	46358528	647168
2100616868	52711424	647168
2200614898	56823808	647168
2300617356	51302400	651264
2400615474	52613120	651264
2500618511	45137920	651264
2600618027	54005760	659456
2700613828	49758208	675840
2800617858	51687424	688128
2900614293	52273152	688128
3000613111	56659968	692224
3100615705	57356288	696320
3200576739	66707456	700416
3300598009	79126528	720896
3400614401	75542528	720896
3500617356	74985472	741376
3600615029	74854400	741376
3700630836	88870912	757760
3800633548	87891968	761856
3900624911	75657216	761856
4000617082	77488128	765952
4100623294	77910016	765952
4200616501	80928768	765952
4300622961	84738048	765952
4400625268	93782016	765952
4500614225	92434432	765952
4600614717	91492352	765952
4700620211	90185728	765952
4800632195	88596480	770048
4900620662	81149952	778240
5000879145	78860288	778240
5100601773	75644928	782336
5200616184	75026432	782336
5300626438	78708736	782336
5400619541	82927616	782336
5500613608	86896640	786432
5600621991	86654976	806912
5700612630	78483456	811008
5800612798	84090880	815104
5900619098	86032384	815104
6000612308	92557312	819200
6100631330	90161152	819200
6200627413	84725760	831488
6300614437	81125376	831488
6400586237	80723968	831488
6500572498	82968576	831488
6600577237	83607552	831488
6700566172	80560128	831488
6800570679	84062208	831488
6900572331	84008960	835584
7000569788	84611072	835584
7100574063	91766784	839680
7200572913	100339712	839680
7300571440	102961152	839680
7400571839	107171840	847872
7500571334	106020864	868352
7600584579	102580224	880640
7700570428	98754560	897024
7800568747	100073472	897024
7900574649	105070592	897024
8000577300	105070592	897024
8100580770	110051328	897024
8200565436	115052544	897024
8300568813	114257920	897024
8400574920	111284224	897024
8500571137	105078784	909312
8600574038	108879872	913408
8700571763	97214464	913408
8800569256	95264768	913408
8900572833	98406400	913408
9000571537	99450880	921600
9100569147	96772096	921600
9200571379	95531008	921600
9300574689	100904960	921600
9400571639	100225024	921600
9500568566	99807232	921600
9600569923	97079296	921600
9700572933	101576704	921600
9800578157	107442176	921600
9900577854	110379008	925696
10000571998	103641088	929792
10100574778	105512960	929792
10200570975	104767488	929792
10300570896	100864000	929792
10400577557	105295872	929792
10500573348	107065344	929792
10600576776	111960064	929792
10700572120	115150848	929792
10800574071	112709632	929792
10900576372	116834304	929792
11000571793	113381376	929792
11100571303	116359168	929792
11200576766	117227520	933888
11300578965	119349248	933888
11400578439	118030336	933888
11500577527	118030336	933888
11600570463	113934336	937984
11700571495	114499584	937984
11800569585	116338688	937984
11900569267	128008192	942080
12000574818	133644288	942080
12100564772	133001216	942080
12200576668	131084288	946176
12300573493	129052672	946176
12400571410	131960832	946176
12500574830	129323008	950272
12600576243	134041600	950272
12700572382	129908736	950272
12800575032	133877760	950272
12900571341	129720320	950272
13000579444	134316032	950272
13100577159	133767168	950272
13200574225	129597440	954368
13300571669	131010560	954368
13400570941	133070848	954368
13500571553	129654784	954368
13600578519	131457024	954368
13700576977	132898816	958464
13800577696	132210688	958464
13900580520	132603904	958464
14000576408	132603904	962560
14100573031	131272704	962560
14200576856	130646016	962560
14300573202	130908160	962560
14400571737	130691072	966656
14500576807	131084288	966656
14600573732	131608576	966656
14700578029	132263936	966656
14800578469	132263936	966656
14900575367	132665344	970752
15000578792	134815744	970752
15100574944	135208960	970752
15200575269	135995392	970752
15300574810	138747904	970752
15400571143	139440128	970752
15500573232	141115392	974848
15600576938	143642624	974848
15700569992	144297984	974848
15800566524	143458304	974848
15900570354	144715776	974848
16000570992	144715776	978944
16100571264	144252928	978944
16200577741	144924672	978944
16300574259	145342464	978944
16400576940	145604608	978944
16500576730	146284544	978944
16600577353	145563648	983040
16700579284	150282240	983040
16800570725	147873792	983040
16900572357	149233664	983040
17000575152	154607616	987136
17100571514	153554944	987136
17200567653	154406912	987136
17300575031	156413952	987136
17400568150	153710592	987136
17500571285	153174016	987136
17600573094	153505792	991232
17700572707	154832896	991232
17800573532	156295168	991232
17900579152	160313344	995328
18000579573	159113216	995328
18100574813	159477760	995328
18200576576	161525760	1003520
18300577181	161525760	1003520
18400571567	162353152	1007616
18500575733	164065280	1007616
18600580401	172306432	1024000
18700576124	172437504	1024000
18800572419	173449216	1028096
18900572320	171266048	1028096
19000576018	171528192	1028096
19100575395	182800384	1052672
19200571021	172806144	1052672
19300570588	174813184	1064960
19400576303	190672896	1073152
19500578824	174845952	1073152
19600578593	184438784	1085440
19700570793	195317760	1101824
19800569070	195903488	1101824
19900577436	201306112	1101824
20000573896	202223616	1101824
20100577358	201797632	1110016
20200572442	197152768	1110016
20300569228	195522560	1110016
20400568712	195784704	1110016
20500572825	189546496	1110016
20600571508	186900480	1110016
20700577174	190816256	1110016
20800575573	190816256	1110016
20900571893	195063808	1114112
21000575632	192393216	1118208
21100577149	190754816	1118208
21200575265	198168576	1122304
21300572197	198168576	1122304
21400573551	197402624	1126400
21500574620	199118848	1126400
21600576557	200040448	1126400
21700578120	196120576	1126400
21800574047	196120576	1126400
21900570291	197447680	1126400
22000571627	194793472	1130496
22100571472	197111808	1130496
22200573473	201175040	1130496
22300565490	200450048	1130496
22400574507	201822208	1134592
22500576189	211521536	1142784
22600574306	211521536	1142784
22700578475	214777856	1150976
22800577640	248332288	1224704
22900568264	231641088	1228800
23000566055	233201664	1228800
23100568758	226893824	1228800
23200573651	237969408	1228800
23300578959	229175296	1228800
23400578650	253784064	1261568
23500569470	256798720	1265664
23600563592	257843200	1269760
23700574143	233402368	1298432
23800571029	235319296	1298432
23900572280	236310528	1298432
24000570819	235474944	1306624
24100574914	245358592	1306624
24200576914	259448832	1306624
24300572972	259448832	1306624
24400573099	261021696	1306624
24500571874	262201344	1306624
24600572079	269774848	1306624
24700564566	273891328	1310720
24800561483	273891328	1310720
24900558553	272015360	1310720
25000574830	272797696	1310720
25100575183	270422016	1310720
25200569002	274124800	1310720
25300573293	274649088	1310720
25400571708	274649088	1310720
25500575788	270643200	1323008
