time	rss	kernel
0	770048	229376
100628786	57360384	593920
200657296	65355776	606208
300664289	65355776	606208
400659389	81735680	659456
500654012	131543040	761856
600669785	177680384	851968
700647397	330903552	1150976
800629547	330903552	1150976
900648852	332611584	1155072
1000653118	335364096	1155072
1100638226	117207040	1155072
1200638302	138833920	1155072
1300630247	140144640	1155072
1400634059	141717504	1155072
1500635227	141840384	1155072
1600635159	142102528	1155072
1700632296	142233600	1155072
1800635699	132919296	1155072
1900632733	132915200	1155072
2000630443	132472832	1155072
2100635987	132497408	1155072
2200630769	132562944	1155072
2300631876	132493312	1155072
2400629532	132280320	1155072
2500630058	132296704	1155072
2600625646	132259840	1155072
2700628313	132190208	1155072
2800628163	132251648	1155072
2900653402	144261120	1155072
3000646547	144261120	1155072
3100653812	144261120	1155072
3200640839	112951296	1155072
3300635858	112943104	1155072
3400636549	112037888	1155072
3500633347	112103424	1155072
3600635283	112381952	1155072
3700631525	112001024	1155072
3800630681	112394240	1155072
3900628618	112361472	1155072
4000630334	112082944	1155072
4100626194	112033792	1155072
4200632334	112066560	1155072
4300626778	111845376	1155072
4400628625	112566272	1155072
4500641707	124788736	1155072
4600651665	124788736	1155072
4700632528	124919808	1155072
4800643830	237379584	1155072
4900671262	287449088	1155072
5000666166	287449088	1155072
5100665393	287449088	1155072
5200664004	287449088	1155072
5300663922	287449088	1155072
5400665425	287449088	1155072
5500668850	287449088	1155072
5600661498	287449088	1155072
5700665250	287449088	1155072
5800669733	287449088	1155072
5900647721	287449088	1155072
6000648840	287449088	1155072
6100665920	287449088	1155072
6200667319	287449088	1155072
6300662719	287449088	1155072
6400660781	287449088	1155072
6500645245	287449088	1155072
6600645138	287449088	1155072
6700644619	287449088	1155072
6800644568	287449088	1155072
6900637929	287449088	1155072
7000650172	287449088	1155072
7100648360	287449088	1155072
7200633849	287449088	1155072
7300648030	287449088	1155072
7400648662	287449088	1155072
7500667192	287449088	1155072
7600663826	287449088	1155072
7700665662	287449088	1155072
7800667670	333565952	1302528
7900667339	179044352	1327104
8000653526	118767616	1327104
8100663152	118042624	1327104
8200663871	119570432	1327104
8300664408	115765248	1327104
8400655598	115056640	1327104
8500650547	114814976	1327104
8600632361	114270208	1327104
8700627826	115093504	1327104
8800629184	114823168	1327104
8900629071	113795072	1327104
9000629204	113680384	1327104
9100628529	113733632	1327104
9200637103	157384704	1327104
9300640554	145231872	1327104
9400637804	148668416	1327104
9500638337	152616960	1327104
9600643862	152616960	1327104
9700658767	148385792	1327104
9800660767	162803712	1327104
9900644183	170799104	1327104
10000666583	174714880	1327104
10100660466	164761600	1331200
10200652006	164761600	1331200
10300646675	164761600	1331200
10400645673	164761600	1331200
10500648630	157126656	1331200
10600651413	155914240	1331200
10700645690	156078080	1331200
10800641509	156065792	1331200
10900624530	156557312	1331200
11000648657	154902528	1331200
11100648188	157315072	1331200
11200649204	158334976	1331200
11300660464	167841792	1331200
11400638859	165736448	1331200
11500669241	171634688	1331200
11600670159	100552704	1355776
11700652980	84213760	1355776
11800660610	85762048	1355776
11900662506	84865024	1355776
12000658199	115634176	1355776
12100657371	104103936	1355776
12200654477	98185216	1355776
12300649831	106037248	1355776
12400639804	94617600	1355776
12500654935	94257152	1355776
12600644688	102346752	1355776
12700645836	119123968	1355776
12800657592	119123968	1355776
12900656727	119123968	1355776
13000656941	95580160	1355776
13100642631	96100352	1355776
13200653601	94269440	1359872
13300648516	103608320	1359872
13400649337	100868096	1359872
13500657441	103411712	1359872
13600668176	111771648	1359872
13700663180	111771648	1359872
13800661678	112295936	1359872
13900660490	110022656	1359872
14000669601	113692672	1359872
14100658842	109928448	1372160
14200652036	90910720	1372160
14300660359	96628736	1372160
14400654683	92250112	1372160
14500636965	91402240	1372160
14600639784	91688960	1376256
14700660238	92344320	1376256
14800667893	89137152	1376256
14900636947	89305088	1376256
15000669458	89960448	1376256
15100660347	89755648	1380352
15200655870	89128960	1380352
15300652406	89554944	1380352
15400634408	90472448	1380352
