time	rss	kernel
0	884736	233472
100441636	16781312	507904
200456878	39034880	565248
300452067	70512640	638976
400451229	62648320	655360
500450225	59973632	655360
600461970	68608000	655360
700450295	57012224	655360
800457788	57888768	655360
900447869	78729216	659456
1000449436	46718976	679936
1100448972	47620096	679936
1200449339	45600768	679936
1300455922	62590976	679936
1400451803	78876672	688128
1500456385	81432576	688128
1600457020	68898816	688128
1700445176	68898816	688128
1800444096	64581632	692224
1900455722	68231168	692224
2000447037	74092544	692224
2100454800	77893632	700416
2200457934	58265600	700416
2300447980	48766976	700416
2400449698	49451008	741376
2500450028	46956544	741376
2600459675	54194176	741376
2700453402	58908672	741376
2800453742	57008128	741376
2900452225	58982400	745472
3000453728	79650816	745472
3100455904	100098048	770048
3200453145	103768064	770048
3300456751	109535232	770048
3400458139	180576256	901120
3500450121	116273152	946176
3600438870	116273152	946176
3700433753	116273152	946176
3800433667	116273152	946176
3900431304	116273152	946176
4000444945	116273152	946176
4100450961	122826752	946176
4200454880	125423616	946176
4300454938	197722112	946176
4400451591	197722112	946176
4500444677	197722112	946176
4600462089	391315456	1331200
4700451169	584908800	1708032
4800451473	584908800	1708032
4900455101	584908800	1708032
5000450756	584908800	1708032
5100446844	588840960	1708032
5200441785	591986688	1708032
5300441582	593166336	1708032
5400452041	159481856	1708032
5500455715	175935488	1708032
5600452248	208572416	1708032
5700439804	210276352	1708032
5800436606	211980288	1708032
5900448298	217092096	1708032
6000443165	217477120	1708032
6100438688	218263552	1708032
6200450790	221016064	1708032
6300447759	222191616	1708032
6400438584	222322688	1708032
6500433728	222322688	1708032
6600435415	222322688	1708032
6700435888	222322688	1708032
6800436877	222322688	1708032
6900450921	212221952	1708032
7000446806	201506816	1708032
7100445997	201306112	1708032
7200443143	201998336	1708032
7300441258	200978432	1708032
7400441878	201949184	1708032
7500440997	201998336	1708032
7600443273	202321920	1708032
7700439789	201994240	1708032
7800440231	199618560	1712128
7900439074	199700480	1712128
8000438962	199663616	1712128
8100436377	199606272	1712128
8200437538	199606272	1712128
8300436868	199725056	1712128
8400442993	199622656	1712128
8500454877	207953920	1712128
8600453819	207953920	1712128
8700456713	207953920	1712128
8800454973	207953920	1712128
8900454805	207953920	1712128
9000486967	207953920	1712128
9100508593	207953920	1712128
9200504908	199077888	1720320
9300493202	198774784	1720320
9400492208	198746112	1720320
9500488405	197402624	1720320
9600492510	196734976	1720320
9700468454	197419008	1720320
9800471445	197402624	1720320
9900466740	196599808	1720320
10000470463	197410816	1720320
10100467072	197398528	1720320
10200465451	197386240	1720320
10300464638	197419008	1720320
10400464540	197312512	1720320
10500468257	197423104	1720320
10600464443	197410816	1720320
10700465088	197419008	1720320
10800467385	197406720	1720320
10900466714	197435392	1720320
11000472701	210067456	1720320
11100479039	210067456	1720320
11200484335	210067456	1720320
11300510831	210067456	1720320
11400510258	210067456	1720320
11500507107	209043456	1720320
11600504662	209043456	1720320
11700500504	196104192	1720320
11800507640	331501568	2142208
11900493400	374591488	2142208
12000500366	375640064	2142208
12100508715	469618688	2142208
12200510201	469618688	2142208
12300509720	469618688	2142208
12400509247	469618688	2142208
12500500784	469618688	2142208
12600508810	469618688	2142208
12700507835	469618688	2142208
12800511759	469618688	2142208
12900500824	469618688	2142208
13000501117	469618688	2142208
13100485655	469618688	2142208
13200491144	469618688	2142208
13300496868	469618688	2142208
13400509698	469618688	2142208
13500501230	469618688	2142208
13600482431	469618688	2142208
13700496283	469618688	2142208
13800502386	469618688	2142208
13900500016	469618688	2142208
14000511262	469618688	2142208
14100510308	469618688	2142208
14200517939	469618688	2142208
14300505441	580562944	2142208
14400499563	467529728	2142208
14500499355	331583488	2576384
14600508027	155811840	2576384
14700489839	155770880	2576384
14800506635	159043584	2576384
14900495826	155754496	2576384
15000492832	161714176	2576384
15100489797	162459648	2576384
15200493340	162631680	2576384
15300491918	161669120	2576384
15400478389	162676736	2576384
15500480939	161021952	2576384
15600494468	162693120	2576384
15700489816	162770944	2576384
15800474418	162861056	2576384
