time	rss	kernel
0	696320	155648
100714610	34050048	524288
200745798	41259008	536576
300739506	45846528	544768
400737881	48730112	561152
500737681	51351552	569344
600729292	53841920	573440
700752889	55808000	577536
800757693	58429440	581632
900742649	60264448	585728
1000723888	61837312	589824
1100726799	62885888	589824
1200691773	64851968	593920
1300753532	66818048	598016
1400756186	68128768	610304
1500727381	69963776	614400
1600739057	71012352	614400
1700757797	71929856	614400
1800755722	73502720	618496
1900733359	74420224	622592
2000730148	75206656	622592
2100729884	76255232	622592
2200752601	77959168	626688
2300735429	78745600	630784
2400751251	79925248	630784
2500736876	81104896	634880
2600758659	82022400	634880
2700734756	85561344	643072
2800741099	85561344	643072
2900731095	86872064	647168
3000690849	87396352	647168
3100735203	88313856	647168
3200731549	89624576	651264
3300735911	90411008	651264
3400737138	91590656	655360
3500753997	92377088	655360
3600751788	94851072	659456
3700753866	229986304	921600
3800735858	103882752	925696
3900716990	103882752	925696
4000716145	103882752	925696
4100685507	107552768	925696
4200757497	115417088	925696
4300762208	113168384	925696
4400751971	202383360	925696
4500756720	301604864	1073152
4600746241	301604864	1073152
4700743747	301604864	1073152
4800743649	301604864	1073152
4900751046	405282816	1273856
5000762926	624828416	1703936
5100731024	881860608	2207744
5200740168	881860608	2207744
5300717644	881860608	2207744
5400719495	881860608	2207744
5500732291	881860608	2207744
5600732070	881860608	2207744
5700729210	885661696	2215936
5800725769	885227520	2215936
5900737430	886276096	2215936
6000720519	887586816	2215936
6100719672	888111104	2215936
6200733996	242520064	2224128
6300734916	256159744	2244608
6400735986	351547392	2248704
6500723256	380723200	2248704
6600736236	382427136	2248704
6700719063	384131072	2248704
6800729423	389373952	2248704
6900731059	389898240	2248704
7000689756	390946816	2248704
7100724608	392388608	2248704
7200722903	393830400	2248704
7300726754	395272192	2248704
7400729640	396713984	2248704
7500728519	415834112	2248704
7600719076	416096256	2248704
7700725294	416096256	2248704
7800722209	416096256	2248704
7900723109	416096256	2248704
8000688446	416096256	2248704
8100724845	416096256	2248704
8200732742	416096256	2248704
8300728877	416096256	2248704
8400726547	416096256	2248704
8500733696	390053888	2248704
8600728585	373706752	2248704
8700723074	371646464	2252800
8800722077	371671040	2252800
8900720745	372166656	2252800
9000720295	367316992	2252800
9100719370	367341568	2252800
9200719347	367415296	2252800
9300721632	367419392	2252800
9400724190	367374336	2252800
9500718893	367362048	2252800
9600720723	367353856	2252800
9700715715	367374336	2252800
9800710210	367329280	2252800
9900709048	367321088	2252800
10000761331	367349760	2252800
10100736710	377180160	2252800
10200735206	377180160	2252800
10300738567	377180160	2252800
10400761346	377180160	2252800
10500761237	377180160	2252800
10600758037	377180160	2252800
10700761791	377180160	2252800
10800755663	377180160	2252800
10900742303	377180160	2252800
11000739840	377180160	2252800
11100752084	377180160	2252800
11200754873	367349760	2252800
11300741247	367173632	2252800
11400737623	367136768	2252800
11500723167	367128576	2252800
11600729190	367120384	2252800
11700724352	365559808	2252800
11800722997	365588480	2252800
11900714026	365477888	2252800
12000759946	365506560	2252800
12100721162	365543424	2252800
12200719459	365580288	2252800
12300722388	365494272	2252800
12400717813	365015040	2252800
12500716823	365576192	2252800
12600718668	365621248	2252800
12700719093	365527040	2252800
12800716069	365572096	2252800
12900716523	365617152	2252800
13000686547	365522944	2252800
13100721524	365568000	2252800
13200735976	378437632	2252800
13300742604	378437632	2252800
13400740475	377352192	2252800
13500762078	377352192	2252800
13600759290	377352192	2252800
13700754290	377352192	2252800
13800759838	377352192	2252800
13900736177	377352192	2252800
14000737975	377352192	2252800
14100750980	377352192	2252800
14200694970	362336256	2252800
14300748638	364302336	2252800
14400711738	358203392	2252800
14500743538	362127360	2252800
14600728915	365682688	2252800
14700694645	367931392	2252800
14800693632	364036096	2252800
14900735354	368250880	2252800
15000693586	362471424	2252800
15100694926	366800896	2252800
15200741737	366350336	2252800
15300725577	359071744	2252800
15400720266	359059456	2252800
15500722419	359047168	2252800
15600712607	357306368	2252800
15700721569	356483072	2252800
15800718354	357277696	2252800
15900718466	357371904	2252800
16000725848	357335040	2252800
16100718521	357343232	2252800
16200731978	473272320	2252800
16300733504	414203904	2252800
16400727575	377626624	2252800
16500731993	382578688	2252800
16600740642	387936256	2252800
16700735243	389844992	2252800
16800683452	391786496	2252800
16900682593	393641984	2252800
17000716025	395423744	2252800
17100720037	397365248	2252800
17200729285	401629184	2252800
17300757692	402022400	2252800
17400751825	402022400	2252800
17500742682	402022400	2252800
17600742052	402022400	2252800
