time	rss	kernel
0	737280	192512
100584038	26947584	454656
200584645	27078656	454656
300567155	27078656	454656
400588595	27078656	454656
500589854	27078656	454656
600567786	27078656	454656
700577418	27078656	454656
800579806	27078656	454656
900584002	27209728	454656
1000564101	27209728	454656
1100573425	27209728	454656
1200587984	27209728	454656
1300588110	27209728	454656
1400583328	27209728	454656
1500592048	27209728	454656
1600591327	27209728	454656
1700586357	27209728	454656
1800582229	27209728	458752
1900593061	27340800	458752
2000590449	27340800	458752
2100570024	27340800	458752
2200579851	27340800	458752
2300586554	27340800	458752
2400583756	27340800	458752
2500578783	27340800	458752
