time	rss	kernel
0	737280	192512
100460663	27086848	454656
200486102	27086848	454656
300484164	27086848	454656
400490221	27086848	458752
500484371	27086848	458752
600487601	27217920	458752
700487882	27611136	458752
800487482	27611136	458752
900489023	28266496	462848
1000490843	28266496	462848
1100487736	28397568	462848
1200488555	28397568	462848
1300485203	28397568	462848
1400481811	28397568	462848
1500487547	28397568	462848
1600487441	28397568	462848
1700482277	28397568	462848
1800483497	28397568	462848
1900487621	28397568	462848
2000485008	28528640	462848
2100483485	28659712	462848
2200481270	28790784	462848
2300463230	28790784	462848
2400486965	28921856	466944
2500487832	28921856	466944
2600491260	28921856	466944
2700488347	28921856	466944
2800489924	29052928	466944
2900491916	29052928	466944
3000486439	29184000	466944
3100490440	29184000	466944
3200485885	29184000	466944
3300484459	29184000	466944
3400489913	29184000	466944
3500493227	29184000	466944
3600489722	29184000	466944
