time	rss	kernel
0	675840	192512
100591748	2965504	491520
200612921	3227648	499712
300611410	3358720	507904
400613368	3620864	507904
500619701	3751936	512000
600616887	4014080	520192
700612767	4145152	520192
800612770	4407296	520192
900611472	4538368	520192
1000595992	4669440	520192
1100615513	4931584	520192
1200595515	5062656	524288
1300617017	5193728	524288
1400612180	5455872	524288
1500613506	5586944	524288
1600610883	5849088	528384
1700612044	5980160	528384
1800610816	6111232	528384
1900621499	6373376	528384
2000595252	6504448	528384
2100612025	6635520	528384
2200612521	6897664	528384
2300594566	7020544	528384
2400612151	7151616	528384
2500613228	7413760	528384
2600614606	7544832	528384
2700594316	7675904	528384
2800615138	7938048	532480
2900614407	8069120	532480
3000612559	8200192	532480
3100614450	8462336	532480
3200613044	8593408	532480
3300612725	8855552	532480
3400612469	8986624	532480
3500612318	9117696	532480
3600612155	9379840	532480
3700611904	9510912	532480
3800615653	9641984	532480
3900610226	9904128	532480
4000612922	10035200	536576
4100614222	10297344	536576
4200612316	10428416	536576
4300612563	10690560	536576
4400611607	10821632	536576
4500616397	10952704	536576
4600613660	11214848	536576
4700612667	11329536	536576
4800612519	11460608	536576
4900612272	11722752	536576
5000611595	11853824	536576
5100611811	12115968	536576
5200611674	12247040	540672
5300596472	12378112	540672
5400613370	12640256	540672
5500618160	12771328	540672
5600619098	13033472	540672
5700597185	13164544	540672
5800601226	13295616	540672
5900597058	13557760	540672
6000596604	13688832	540672
6100594732	13950976	540672
6200597135	14082048	540672
6300596509	14213120	540672
6400593928	14344192	544768
6500589101	14606336	544768
6600598349	14737408	544768
6700596845	14868480	544768
6800596674	15130624	544768
6900596759	15261696	544768
7000594529	15523840	544768
7100596497	15654912	544768
7200586476	15785984	544768
7300596439	16048128	544768
7400618028	16179200	544768
7500614622	16310272	544768
7600612694	16572416	548864
7700596388	16703488	548864
7800611177	16834560	548864
7900616885	17096704	548864
8000614236	17227776	548864
8100612298	17489920	548864
8200613526	17620992	548864
8300615070	17883136	548864
8400612613	18014208	548864
8500612744	18145280	548864
8600611974	18407424	548864
8700594869	18538496	548864
8800612640	18800640	552960
8900611927	18931712	552960
9000613024	19062784	552960
9100611328	19324928	552960
9200613148	19587072	552960
9300612991	19718144	552960
9400616493	19849216	552960
9500613391	20078592	552960
9600611629	20209664	552960
9700613571	20471808	552960
9800612852	20602880	552960
9900614819	20865024	557056
10000612551	20996096	557056
10100611539	21127168	557056
10200613387	21389312	557056
10300612898	21520384	557056
10400611909	21782528	557056
10500619239	21913600	557056
10600619347	22044672	557056
10700594576	22306816	557056
10800612596	22437888	557056
10900615527	22568960	557056
11000616163	22831104	557056
11100611169	22962176	561152
11200612043	23224320	561152
11300616740	23355392	561152
11400613931	23617536	561152
11500603922	23748608	561152
