time	rss	kernel
0	851968	192512
100560353	23265280	491520
200585803	38678528	524288
300584496	51290112	544768
400584887	62201856	565248
500584513	71888896	585728
600587461	80621568	602112
700586443	88956928	618496
800586855	96616448	630784
900588477	104607744	647168
1000587365	111353856	659456
1100598482	114958336	667648
1200579782	114958336	667648
1300570382	114958336	667648
1400590597	114958336	667648
1500580467	114958336	667648
1600590110	114958336	667648
1700581719	114958336	667648
1800579599	114958336	667648
1900581961	114958336	667648
2000593647	114958336	667648
2100561201	114958336	667648
2200592018	114958336	667648
2300583666	117448704	675840
2400585649	120201216	679936
2500586808	123215872	688128
2600571875	126353408	692224
2700606050	129368064	700416
2800568151	132382720	704512
2900587258	135520256	712704
3000584520	138510336	716800
3100589642	141656064	720896
3200583041	144539648	733184
3300586549	147423232	737280
3400582137	150298624	745472
3500580586	153296896	753664
3600586904	155918336	757760
3700583754	158670848	761856
3800583313	161554432	774144
3900579476	164536320	778240
4000567902	167526400	786432
4100589024	170409984	790528
4200585529	171720704	790528
4300584782	172113920	794624
4400582600	172232704	794624
4500582016	172363776	794624
4600583093	172494848	794624
4700581084	172625920	794624
4800580182	172756992	794624
4900588664	172888064	794624
5000580746	173150208	794624
5100581060	173281280	794624
5200578207	173412352	798720
5300585045	173543424	798720
5400583654	173805568	798720
5500584164	173936640	798720
5600582389	174067712	802816
5700583429	174329856	802816
5800565256	174460928	802816
5900581097	174592000	802816
6000580193	174723072	802816
6100585906	174985216	802816
6200578806	175116288	802816
6300561698	175247360	802816
6400580038	175378432	802816
6500579465	175640576	802816
6600580861	175771648	802816
6700582260	175902720	802816
6800582497	176164864	802816
6900580519	176295936	806912
7000580270	176427008	806912
7100580788	176558080	811008
7200580860	176820224	811008
7300563533	176951296	811008
7400590051	179408896	815104
7500588973	180682752	815104
7600593614	180666368	823296
7700593402	180953088	843776
7800594407	180461568	864256
7900594839	180404224	880640
8000591117	180129792	917504
8100592452	179900416	925696
8200593547	179929088	933888
8300587342	180576256	933888
8400585065	180346880	946176
8500589192	180912128	954368
8600590953	180588544	978944
8700585059	181268480	991232
8800570223	181030912	999424
8900581150	180899840	1007616
9000588153	181174272	1028096
9100585343	181186560	1032192
9200588739	180645888	1036288
9300591520	181051392	1048576
9400590496	181207040	1052672
9500593787	180858880	1052672
9600592553	180932608	1060864
9700592691	181542912	1064960
9800591951	181276672	1069056
9900591322	181493760	1073152
10000591821	181661696	1077248
10100598400	181411840	1085440
10200583991	181858304	1097728
10300572815	181448704	1110016
10400585212	181747712	1114112
10500585603	181256192	1118208
10600582842	181567488	1126400
10700592194	182022144	1126400
10800589488	181870592	1134592
10900587656	181846016	1134592
11000586809	181829632	1142784
11100592718	181555200	1150976
11200582143	181788672	1155072
11300578038	181121024	1167360
11400588901	181248000	1167360
11500593358	181157888	1175552
11600590539	181207040	1179648
11700591173	181874688	1179648
11800595061	181567488	1183744
11900595057	181125120	1191936
12000594835	181637120	1196032
12100593283	182026240	1200128
12200585968	181829632	1208320
12300572815	181219328	1220608
12400593557	181227520	1228800
12500595307	181387264	1232896
12600592281	181583872	1241088
12700610653	181911552	1241088
12800574120	181387264	1253376
12900593791	181731328	1253376
13000593382	182157312	1253376
13100590867	181874688	1261568
13200580346	181739520	1265664
13300575835	181567488	1269760
13400591083	181739520	1269760
13500586017	181252096	1286144
13600591485	181395456	1286144
13700584659	181424128	1290240
13800592280	181903360	1298432
13900596592	181436416	1302528
14000591353	181760000	1302528
14100587545	181911552	1306624
14200584702	181641216	1314816
14300574807	181903360	1314816
14400590900	182329344	1314816
14500597810	182095872	1314816
14600590711	181997568	1318912
14700593306	182431744	1318912
14800588985	182214656	1323008
14900589680	182407168	1331200
15000591342	182460416	1331200
15100588819	182202368	1331200
15200577314	182747136	1339392
15300611295	182591488	1339392
15400589937	181968896	1355776
15500588830	182013952	1359872
15600588798	182501376	1368064
15700597191	182771712	1372160
15800594727	182763520	1372160
15900584415	182857728	1380352
16000591192	182403072	1384448
16100593686	182751232	1392640
16200577513	182833152	1400832
16300575950	182255616	1404928
16400572599	182222848	1409024
16500570621	182403072	1421312
16600576178	182923264	1425408
16700586935	182624256	1433600
16800606369	181899264	1441792
16900591459	182407168	1441792
17000592453	182706176	1449984
17100594611	182562816	1449984
17200577823	181915648	1458176
17300575680	182079488	1458176
17400591373	182435840	1458176
17500595233	182239232	1466368
17600578349	182460416	1466368
17700588593	182886400	1470464
17800592131	182312960	1470464
17900594731	182521856	1482752
18000594461	181940224	1486848
18100589041	182566912	1490944
18200591463	182325248	1499136
18300594035	181956608	1499136
18400573950	182140928	1499136
18500591194	181882880	1507328
18600589569	182730752	1507328
18700567952	182317056	1511424
18800574085	182407168	1511424
18900597713	182169600	1511424
19000590075	182525952	1511424
19100588748	182398976	1511424
19200587799	182087680	1519616
19300588569	182710272	1527808
19400586629	182489088	1536000
19500588570	182243328	1540096
19600591286	182132736	1548288
19700593153	182775808	1556480
19800595819	183001088	1556480
19900596119	182120448	1564672
20000590930	182956032	1564672
20100593279	182190080	1572864
20200592667	182767616	1576960
20300578849	183078912	1576960
20400576944	182587392	1597440
20500593205	183005184	1597440
20600591765	182341632	1601536
20700593982	183119872	1601536
20800595839	182927360	1605632
20900588731	182648832	1617920
21000593376	182284288	1626112
21100592281	183185408	1630208
21200589300	182919168	1634304
21300593711	182423552	1642496
21400593676	182689792	1642496
21500593767	183443456	1650688
21600593105	183070720	1654784
21700593980	182624256	1658880
21800596143	183275520	1662976
21900592821	182853632	1675264
22000597155	183054336	1679360
22100592285	183496704	1683456
22200592028	183422976	1683456
22300591256	183107584	1695744
22400592974	182824960	1703936
22500591216	183250944	1708032
22600594398	183324672	1708032
22700594144	183492608	1716224
22800593047	182923264	1720320
22900596261	182788096	1728512
23000577620	183181312	1728512
23100591450	182611968	1736704
23200595633	183115776	1736704
23300603049	183296000	1736704
23400586882	182677504	1744896
23500590889	183537664	1744896
23600589716	183533568	1744896
23700583891	182964224	1757184
23800590879	182673408	1765376
23900588992	183238656	1765376
24000588878	182620160	1773568
24100590787	182460416	1777664
24200589466	182669312	1777664
24300588282	182657024	1785856
24400593323	182620160	1789952
24500588881	182800384	1789952
24600592524	182771712	1789952
24700602739	183046144	1802240
24800591843	183255040	1802240
24900590338	183050240	1802240
25000591060	183209984	1806336
25100596925	182804480	1806336
25200592548	183246848	1806336
25300591953	182779904	1814528
25400592466	182599680	1826816
25500589796	183336960	1826816
25600582871	182915072	1830912
25700586946	183115776	1839104
25800593374	183267328	1839104
25900589546	182804480	1851392
26000590088	182829056	1851392
26100592036	182796288	1855488
26200590305	183189504	1855488
26300592796	183566336	1855488
26400592065	183287808	1855488
26500591876	183451648	1863680
26600595714	183767040	1867776
26700592158	183406592	1871872
26800589569	183345152	1880064
26900583798	183537664	1880064
27000591545	183500800	1884160
27100590858	183160832	1892352
27200593900	183394304	1892352
27300572712	183345152	1892352
27400593027	182919168	1892352
27500569896	182935552	1896448
27600586485	183513088	1896448
27700584302	183582720	1896448
27800574710	183574528	1904640
27900578780	183574528	1908736
28000589715	182861824	1921024
28100594720	183111680	1921024
28200563698	183361536	1921024
28300592930	183230464	1921024
28400594815	183152640	1925120
28500593643	183631872	1933312
28600592347	183025664	1933312
28700586357	183480320	1933312
28800588846	183283712	1933312
28900595217	183820288	1941504
29000592230	183820288	1949696
29100590818	183447552	1949696
29200588594	183255040	1953792
29300592395	183345152	1966080
29400590638	183939072	1970176
29500590508	183238656	1970176
