time	rss	kernel
0	765952	192512
100561453	23572480	581632
200588856	38768640	610304
300588421	51195904	630784
400588917	61968384	655360
500586108	71540736	671744
600592001	80240640	688128
700577619	88391680	704512
800588857	95875072	720896
900587076	103505920	737280
1000589549	109580288	749568
1100599352	115077120	757760
1200598999	115077120	757760
1300591496	115077120	757760
1400594651	115077120	757760
1500590997	115077120	757760
1600592906	115077120	757760
1700592341	115077120	757760
1800582685	115077120	757760
1900592229	115077120	757760
2000579973	115077120	757760
2100590513	115077120	757760
2200595485	115077120	757760
2300594308	115077120	757760
2400584000	117739520	770048
2500584198	120623104	774144
2600589601	123637760	778240
2700588744	126513152	786432
2800587563	129527808	790528
2900588769	132542464	798720
3000586625	135548928	802816
3100586699	138539008	806912
3200590284	141553664	815104
3300592938	144437248	823296
3400590818	147189760	827392
3500587715	150065152	835584
3600588473	152932352	839680
3700588261	155815936	843776
3800588094	158568448	851968
3900588390	161452032	860160
4000585679	164302848	864256
4100588190	167170048	872448
4200586447	170045440	876544
4300588943	171749376	884736
4400586556	172142592	884736
4500584611	172261376	884736
4600583887	172392448	884736
4700583767	172392448	884736
4800588650	172523520	884736
4900585110	172785664	884736
5000586875	172916736	884736
5100583833	173047808	884736
5200583669	173178880	884736
5300589843	173441024	892928
5400582393	173572096	892928
5500582999	173703168	892928
5600584813	173834240	892928
5700581735	173965312	892928
5800581493	174227456	892928
5900584636	174358528	892928
6000583338	174489600	892928
6100584051	174620672	892928
6200587090	174882816	892928
6300598113	175013888	892928
6400584755	175144960	892928
6500584279	175276032	892928
6600584943	175407104	892928
6700585883	175669248	892928
6800588181	175800320	897024
6900585609	175931392	897024
7000583324	176062464	897024
7100586599	176324608	897024
7200588205	176455680	897024
7300585080	176586752	901120
7400584607	176717824	901120
7500584300	176848896	901120
7600590067	177733632	901120
7700590163	180015104	909312
7800591366	181100544	917504
7900596443	180965376	921600
8000589541	180580352	925696
8100594829	180293632	950272
8200593813	180301824	991232
8300578193	180133888	1011712
8400575785	179892224	1024000
8500593486	180649984	1024000
8600571506	181010432	1024000
8700593613	181354496	1036288
8800595737	181411840	1040384
8900593880	181575680	1044480
9000588636	181149696	1048576
9100595654	181530624	1048576
9200597543	180568064	1085440
9300598159	180998144	1085440
9400557955	180789248	1085440
9500548280	181223424	1085440
9600542284	181530624	1085440
9700547613	180813824	1101824
9800544486	180862976	1101824
9900544021	181047296	1110016
10000489961	181272576	1114112
10100550014	181268480	1118208
10200547663	181760000	1122304
10300545394	181166080	1134592
10400544837	181596160	1134592
10500543232	181248000	1146880
10600550563	181981184	1155072
10700550551	181219328	1155072
10800550837	181481472	1167360
10900548330	181833728	1175552
11000551532	181297152	1187840
11100548736	182341632	1187840
11200550383	182157312	1196032
11300551552	181649408	1200128
11400549737	181874688	1204224
11500552148	181207040	1212416
11600550983	181428224	1216512
11700549427	181985280	1220608
11800549333	181747712	1224704
11900550831	181833728	1224704
12000547349	181403648	1228800
12100552318	181334016	1241088
12200537522	181501952	1245184
12300546345	182210560	1245184
12400549691	181919744	1253376
12500548287	181608448	1261568
12600549972	181968896	1273856
12700553134	181878784	1273856
12800551632	182345728	1277952
12900551400	181964800	1282048
13000551756	181731328	1286144
13100547578	181301248	1290240
13200552122	182345728	1294336
13300548262	181932032	1306624
13400544256	181895168	1310720
13500534987	181768192	1314816
13600547338	181948416	1318912
13700551252	181649408	1331200
13800548268	181432320	1335296
13900546532	181415936	1339392
14000552246	182484992	1339392
14100551986	181501952	1351680
14200550977	182128640	1351680
14300547646	181989376	1363968
14400545571	181755904	1368064
14500549780	181620736	1368064
14600546095	182013952	1368064
14700543532	182071296	1368064
14800541776	181862400	1372160
14900547948	182067200	1372160
15000550092	181837824	1380352
15100546884	181755904	1400832
15200549422	181657600	1404928
15300551994	182099968	1404928
15400551043	182505472	1404928
15500552799	182202368	1409024
15600551308	181698560	1425408
15700552011	181903360	1425408
15800551603	181735424	1429504
15900549352	182054912	1433600
16000548195	182243328	1441792
16100550451	182345728	1445888
16200551404	182284288	1445888
16300546916	182607872	1445888
16400545891	182108160	1458176
16500549870	181854208	1466368
16600549346	181899264	1470464
16700549043	181682176	1474560
16800542736	182243328	1478656
16900548527	181899264	1486848
17000547761	181673984	1495040
17100550537	182226944	1495040
17200551340	181833728	1511424
17300551333	181960704	1515520
17400547306	181784576	1519616
17500547475	181714944	1523712
17600546285	182132736	1523712
17700547288	181817344	1527808
17800541944	181710848	1540096
17900548589	182550528	1540096
18000550569	182792192	1540096
18100548121	182562816	1548288
18200550746	182018048	1552384
18300551136	182657024	1560576
18400550180	182833152	1568768
18500548612	182030336	1572864
18600551854	182571008	1572864
18700551209	182169600	1576960
18800548979	182784000	1581056
18900548871	182853632	1581056
19000545979	182939648	1589248
19100543304	182513664	1597440
19200545954	182644736	1597440
19300546913	182697984	1597440
19400545956	182374400	1605632
19500546247	182919168	1605632
19600543672	182874112	1626112
19700546205	182644736	1630208
19800546457	182632448	1634304
19900551240	182878208	1638400
20000547583	183083008	1638400
20100549070	182214656	1650688
20200550944	183111680	1654784
20300550762	182468608	1654784
20400553473	183083008	1658880
20500551227	183177216	1658880
20600549345	182657024	1671168
20700547976	183074816	1671168
20800551740	182435840	1675264
20900547082	183083008	1675264
21000547981	183160832	1679360
21100540874	182697984	1687552
21200550674	182960128	1695744
21300550645	183320576	1703936
21400543319	183123968	1703936
21500550858	182435840	1716224
21600550234	182943744	1716224
21700543492	183472128	1720320
21800548602	183099392	1720320
21900550621	182677504	1728512
22000550218	183099392	1728512
22100553160	183050240	1736704
22200550862	183263232	1740800
22300549884	183525376	1744896
22400539881	183476224	1744896
22500551183	183148544	1753088
22600550386	182804480	1761280
22700541654	183668736	1765376
22800547182	183902208	1765376
22900545042	183488512	1773568
23000543800	183021568	1777664
23100547032	183267328	1785856
23200546965	183287808	1789952
23300544030	183087104	1798144
23400551653	183238656	1806336
23500549948	183209984	1814528
23600545546	182898688	1826816
23700536828	183631872	1830912
23800546287	183541760	1830912
23900552258	183046144	1839104
24000550324	182501376	1851392
24100551217	183414784	1851392
24200547837	182702080	1855488
24300552646	182611968	1863680
24400553258	183054336	1863680
