time	rss	kernel
0	737280	192512
100535254	11157504	1658880
200560734	15851520	2105344
300591724	30998528	2375680
400598083	11382784	2424832
500949573	16420864	2478080
600929369	16367616	2478080
700937856	16367616	2478080
800932026	16367616	2478080
900906019	16367616	2478080
1000933782	16367616	2478080
1100888279	16367616	2478080
1200932570	16367616	2478080
1300830911	16330752	2478080
1400930787	16330752	2478080
1500893564	16330752	2478080
1600879169	16330752	2478080
1700927038	16330752	2478080
1800870854	16293888	2478080
1900859301	16293888	2478080
2000845919	16293888	2478080
2100807527	16293888	2478080
2200931153	16293888	2478080
2300852580	16293888	2478080
2400866891	16293888	2478080
2500920950	16293888	2478080
2600932332	16293888	2478080
2700930791	16293888	2478080
2800934862	16293888	2478080
2900923037	16293888	2478080
3000920625	16293888	2478080
3100928786	16293888	2478080
3200932468	16293888	2478080
3300824495	16293888	2478080
3400927300	16293888	2478080
3500545937	16797696	2572288
