time	rss	kernel
0	815104	192512
100582206	32530432	552960
200604494	35237888	573440
300591876	35237888	573440
400588220	35237888	573440
500597467	35368960	573440
600595625	29073408	577536
700589463	29728768	577536
800572374	30384128	577536
900594415	31039488	577536
1000573250	31563776	577536
1100589968	32481280	577536
1208089889	33005568	577536
1300549450	33529856	577536
1400562986	34185216	577536
1500559951	34840576	581632
1600593417	35364864	581632
1700589879	36544512	581632
1800594731	60375040	614400
1900592034	60375040	614400
2000590587	60375040	614400
2100603748	60375040	614400
