time	rss	kernel
0	987136	229376
100541628	25657344	552960
200570478	39669760	577536
300567652	58105856	618496
400567950	59801600	618496
500533877	60399616	626688
600549133	61427712	630784
700495038	61718528	634880
800581515	62689280	638976
900565982	63459328	651264
1000572240	67678208	663552
1100561411	67895296	684032
1200534411	67149824	700416
1300569729	67493888	729088
1400562014	67710976	765952
1500527839	69844992	782336
1600565947	66387968	811008
1700530203	64884736	831488
1800531484	65245184	872448
1900564812	65966080	884736
2000529535	63766528	917504
2100573784	62795776	937984
2200564972	63242240	970752
2300571555	65994752	970752
2400594147	62713856	987136
2500524549	62730240	1028096
2600530599	61612032	1048576
2700530107	61472768	1085440
2800562054	60276736	1097728
2900563023	60063744	1134592
3000572320	57577472	1167360
3100530451	58355712	1167360
3200570302	59981824	1200128
3300572548	60329984	1241088
3400550338	57585664	1261568
3500571640	57946112	1290240
3600568871	59650048	1290240
3700563568	57602048	1335296
3800564210	55533568	1368064
3900562506	55083008	1404928
4000569937	56786944	1404928
4100565670	52473856	1445888
4200562660	52318208	1470464
4300560132	54226944	1470464
4400559374	53022720	1490944
4500574657	50835456	1507328
4600571206	50647040	1507328
4700563802	49991680	1507328
4800571583	45666304	1507328
4900762064	45420544	1507328
