time	rss	kernel
0	737280	192512
100577583	25620480	528384
200613254	39870464	561152
300595056	58179584	598016
400593925	75870208	626688
500592567	93736960	663552
600591297	111452160	696320
700591959	129409024	733184
800590060	147070976	774144
900591826	164626432	811008
1000590636	182304768	839680
1100592308	200261632	872448
1200592251	218087424	909312
1300583899	235651072	942080
1400589254	253214720	978944
1500591552	270516224	1011712
1600592696	287883264	1044480
1700589918	305446912	1077248
1800594235	323256320	1110016
1900588258	341082112	1142784
2000583821	358481920	1187840
2100585550	375914496	1220608
2200591433	393740288	1249280
2300591180	411697152	1290240
2400587713	429654016	1318912
2500590759	447078400	1351680
2600585685	464510976	1384448
2700593647	482467840	1425408
2800594763	500293632	1454080
2900592718	517726208	1490944
3000594998	535158784	1523712
3100592244	552984576	1560576
3200593754	556392448	1568768
3300587976	556392448	1568768
3400600922	555917312	1568768
3500603940	556048384	1568768
3600610332	556048384	1568768
3700601507	558145536	1568768
3800603688	558149632	1572864
3900604965	558211072	1576960
4000588008	558100480	1576960
4100589946	558477312	1576960
4200596466	558497792	1585152
4300593999	559079424	1585152
4400589982	559005696	1589248
4500592090	559087616	1593344
4600589521	558768128	1597440
4700588501	558731264	1597440
4800589872	558563328	1597440
4900590555	559570944	1601536
5000586129	559140864	1601536
5100589333	559947776	1609728
5200590918	560029696	1617920
5300591646	559833088	1617920
5400590969	561274880	1617920
5500590034	560889856	1622016
5600588749	560713728	1622016
5700597989	560410624	1626112
5800586825	562020352	1630208
5900587506	561520640	1634304
6000590699	563654656	1638400
6100586598	562929664	1642496
6200587947	562130944	1642496
6300585839	564158464	1658880
6400589863	562761728	1658880
6500591345	562147328	1662976
6600597198	561864704	1662976
6700597609	561184768	1667072
6800592804	562429952	1671168
6900590577	561274880	1671168
7000590466	560824320	1675264
7100632001	561340416	1679360
7200592789	561225728	1679360
7300589380	562331648	1687552
7400587405	565780480	1703936
7500589622	567357440	1716224
7600588349	568844288	1724416
7700591214	568385536	1732608
7800593496	567771136	1732608
7900591062	567308288	1736704
8000589436	566730752	1736704
8100590040	565854208	1736704
8200591691	565215232	1740800
8300591769	566800384	1748992
8400591639	566177792	1753088
8500588911	566366208	1757184
8600591366	565272576	1761280
8700589917	564588544	1761280
8800590477	567402496	1773568
8900585727	568389632	1785856
9000590412	567296000	1789952
9100639069	568209408	1798144
9200588503	566968320	1798144
9300587449	569208832	1810432
9400589534	570904576	1818624
9500592084	577327104	1818624
9600592472	579952640	1830912
9700592116	578592768	1851392
9800590713	577998848	1871872
9900634075	579162112	1896448
10000587326	575725568	1925120
10100566134	579264512	1925120
10200555067	579198976	1941504
10300557771	580567040	1957888
10400561240	580775936	1978368
10500557373	578822144	1994752
10600557255	579448832	2015232
10700558228	578916352	2035712
10800560566	582193152	2035712
10900560864	581185536	2060288
11000557516	580210688	2080768
11100558916	580079616	2105344
11200554975	579633152	2113536
11300553363	581603328	2113536
11400553245	584130560	2117632
11500553430	586346496	2117632
11600554436	588795904	2117632
11700556006	591249408	2121728
11800555453	591642624	2125824
11900563630	568754176	2146304
12000559917	565870592	2166784
12100558053	564789248	2191360
12200557762	563089408	2207744
12300556215	563748864	2236416
12400555993	568598528	2240512
12500556161	565567488	2256896
12600558449	566816768	2281472
12700557585	565514240	2301952
12800554755	565297152	2326528
12900560375	566386688	2342912
13000557778	564051968	2367488
13100559627	563724288	2383872
13200561299	563372032	2387968
13300559354	565628928	2408448
13400560911	568201216	2424832
13500558820	565686272	2445312
13600560346	566276096	2461696
13700559300	566407168	2486272
13800559332	565256192	2506752
13900559584	564510720	2519040
14000558967	563695616	2539520
14100558660	569593856	2539520
14200557692	566972416	2560000
14300558402	564563968	2580480
14400558124	565325824	2596864
14500556067	565039104	2625536
14600557526	563855360	2641920
14700558935	564232192	2662400
14800554950	567377920	2662400
14900555458	565592064	2682880
15000554117	570310656	2682880
15100555341	571711488	2686976
15200555181	573816832	2686976
15300553832	575344640	2691072
15400554232	580194304	2695168
15500554445	579444736	2703360
15600554847	582623232	2707456
15700552841	586293248	2711552
15800551228	588853248	2719744
15900553529	591831040	2723840
16000557185	590008320	2723840
16100557673	536633344	2740224
16200558816	536584192	2756608
16300555591	539336704	2756608
16400554748	539025408	2777088
16500557028	541822976	2797568
16600558415	539074560	2818048
16700558821	539267072	2838528
16800558822	538660864	2854912
16900557746	536690688	2875392
17000554600	540491776	2875392
17100555945	541880320	2879488
17200559514	542789632	2895872
17300559305	530481152	2908160
17400559079	528089088	2924544
17500558124	532910080	2924544
17600559972	533536768	2940928
17700559811	532492288	2957312
17800559173	531636224	2977792
