time	rss	kernel
0	716800	192512
100563864	25346048	524288
200593286	38957056	557056
300573611	56999936	593920
400576317	74563584	626688
500573342	92299264	655360
600572333	109989888	688128
700578609	127684608	724992
800579299	145346560	770048
900575797	162639872	802816
1000582580	179924992	835584
1100584117	197226496	864256
1200577618	214921216	901120
1300577844	232484864	933888
1400576339	249917440	970752
1500587699	267087872	1003520
1600586460	284717056	1036288
1700577132	302280704	1069056
1800573991	319434752	1101824
1900580919	336736256	1138688
2000582927	354136064	1175552
2100582079	371830784	1208320
2200575773	389263360	1241088
2300577071	406433792	1269760
2400579848	423604224	1306624
2500579847	441290752	1339392
2600581719	458985472	1372160
2700581255	476286976	1404928
2800578209	493457408	1441792
2900579769	509186048	1474560
3000591878	526749696	1511424
3100583695	544387072	1544192
3200576337	556314624	1576960
3300611077	556314624	1576960
3400616605	556445696	1576960
3500597130	556445696	1576960
3600577264	556072960	1576960
3700593934	556204032	1576960
3800593796	558039040	1585152
3900598770	558166016	1589248
4000580207	558411776	1589248
4100580297	558563328	1593344
4200581801	558657536	1597440
4300580786	558546944	1601536
4400581307	559353856	1605632
4500576477	559075328	1605632
4600579705	559321088	1613824
4700579031	559017984	1613824
4800577759	558960640	1617920
4900574962	559214592	1622016
5000578898	559886336	1622016
5100579734	559460352	1622016
5200579039	559935488	1630208
5300580125	560242688	1638400
5400576131	560197632	1638400
5500577375	560168960	1638400
5600579687	560009216	1638400
5700582016	560664576	1638400
5800579719	560721920	1642496
5900577253	561295360	1646592
6000580742	561762304	1650688
6100575454	562855936	1658880
6200578847	562552832	1662976
6300579990	562499584	1662976
6400583000	563621888	1667072
6500576697	563183616	1675264
6600578089	562491392	1675264
6700575921	561930240	1679360
6800576618	561483776	1679360
6900574852	561840128	1679360
7000578479	561332224	1687552
7100576345	561012736	1687552
7200576421	561692672	1695744
7300573456	561516544	1699840
7400571956	561491968	1699840
7500574699	565739520	1716224
7600579308	568356864	1732608
7700574019	566816768	1736704
7800575242	569663488	1744896
7900578298	568016896	1744896
8000586755	567443456	1748992
8100561112	566996992	1748992
8200552142	566505472	1753088
8300548808	565600256	1757184
8400551734	566296576	1761280
8500548883	566185984	1765376
8600547786	567820288	1765376
8700544149	566030336	1769472
8800550492	565121024	1769472
8900547747	565235712	1769472
9000548029	567988224	1781760
9100546456	567947264	1794048
9200548325	568848384	1806336
9300550580	567529472	1806336
9400550265	568389632	1818624
9500549186	568672256	1818624
9600546561	575373312	1830912
9700547345	582402048	1830912
9800543539	579256320	1843200
9900550132	580497408	1859584
10000542657	579784704	1875968
10100547354	578809856	1896448
10200551614	578834432	1921024
10300548787	578355200	1937408
10400546837	576471040	1961984
10500544177	575913984	1978368
10600546452	576737280	1994752
10700544974	577687552	1994752
10800548163	582381568	2023424
10900544388	580407296	2052096
11000557637	578236416	2076672
11100546867	579117056	2097152
11200546213	579260416	2117632
11300542885	580440064	2117632
11400543444	580513792	2125824
11500541733	582873088	2125824
11600541549	585830400	2129920
11700539346	587882496	2134016
11800541891	591306752	2142208
11900547179	592261120	2142208
12000543454	564772864	2158592
12100559065	564449280	2183168
12200544426	564244480	2199552
12300546668	563830784	2220032
12400544087	568672256	2224128
12500544386	567246848	2252800
12600546590	566640640	2277376
12700557441	565084160	2293760
12800543403	564383744	2310144
12900546199	564318208	2334720
13000545256	564371456	2347008
13100543799	568434688	2347008
13200543598	567877632	2367488
13300541414	566128640	2387968
13400541793	566542336	2404352
13500544651	564359168	2424832
13600546004	564219904	2441216
13700545502	564998144	2461696
13800547993	568537088	2461696
13900549401	568266752	2478080
14000558929	568389632	2502656
14100546395	566300672	2514944
14200546817	564285440	2539520
14300546758	570183680	2539520
14400548569	568537088	2568192
14500546331	565473280	2584576
14600545995	564633600	2605056
14700545992	564998144	2617344
14800543521	566534144	2617344
14900546926	567214080	2633728
15000545466	566501376	2662400
15100544993	565792768	2682880
15200545120	568025088	2686976
15300540822	571432960	2686976
15400544797	576151552	2691072
15500617778	575979520	2695168
15600572167	578396160	2695168
15700839434	582590464	2703360
15800574710	583458816	2715648
15900575317	585461760	2715648
16000577335	588738560	2723840
16100576277	590925824	2727936
16200579171	590278656	2727936
16300574615	536489984	2744320
16400582035	541192192	2744320
16500572968	539086848	2772992
16600576567	538570752	2793472
16700572440	539332608	2813952
16800580437	538566656	2838528
16900582239	537014272	2863104
17000582494	536952832	2879488
17100576423	535396352	2895872
17200577756	539328512	2899968
17300569953	543653888	2908160
17400574140	544243712	2912256
17500578773	530137088	2920448
17600580752	530554880	2936832
17700584269	534355968	2936832
17800574965	531206144	2953216
17900577125	531623936	2973696
18000575480	531775488	2994176
18100574243	530624512	3010560
18200583019	530440192	3031040
18300573916	530472960	3051520
18400581008	529903616	3063808
18500575567	528433152	3067904
18600574223	531771392	3080192
18700575403	530972672	3104768
18800855928	532660224	3121152
18900575282	531275776	3145728
19000582578	529559552	3162112
19100578807	535851008	3162112
19200577345	534364160	3186688
19300577245	532852736	3203072
19400580829	531382272	3223552
19500572596	530448384	3248128
19600575328	529174528	3264512
19700581075	529149952	3284992
19800580574	528166912	3321856
19900583459	533016576	3321856
20000580811	531484672	3346432
20100586942	533729280	3371008
20200577582	531042304	3391488
20300569839	534188032	3391488
20400577825	533647360	3399680
20500577369	537579520	3399680
20600577468	539783168	3403776
20700573155	542478336	3403776
20800572945	544407552	3403776
20900578789	545435648	3403776
21000573072	548503552	3403776
21100573491	550354944	3403776
21200581396	551329792	3403776
21300571527	507813888	3416064
21400582334	508276736	3432448
21500575908	506601472	3444736
21600583949	507371520	3465216
21700577992	505663488	3477504
21800571250	510513152	3477504
21900576488	508911616	3502080
22000585170	507756544	3522560
22100583721	507006976	3538944
22200581778	506626048	3559424
22300577580	507514880	3575808
22400573413	506683392	3596288
22500574512	505147392	3612672
22600581378	505839616	3633152
22700576607	504205312	3641344
22800572964	504975360	3641344
22900583267	506777600	3665920
23000585865	506142720	3686400
23100576865	507633664	3694592
23200575405	509571072	3694592
23300573314	510877696	3694592
23400573604	513564672	3698688
23500581834	518676480	3698688
23600573496	519983104	3698688
23700580987	519286784	3698688
23800582656	490627072	3719168
23900585507	491511808	3739648
24000584365	489291776	3764224
24100583633	495058944	3764224
24200583727	494252032	3780608
24300576126	493039616	3796992
24400576310	492023808	3817472
24500584385	490520576	3837952
24600585499	491352064	3862528
24700582982	487989248	3878912
24800580336	488681472	3891200
24900586030	487362560	3911680
25000581409	488263680	3911680
25100578016	492961792	3928064
25200578396	491737088	3952640
25300574323	492273664	3969024
25400584340	490979328	3985408
25500583699	492490752	4014080
25600576395	489521152	4030464
25700581977	490283008	4055040
25800574283	487669760	4075520
25900580660	493174784	4075520
26000583893	494723072	4091904
26100583781	491278336	4112384
26200581674	490029056	4124672
26300571043	492527616	4128768
26400583954	495271936	4132864
26500572387	497086464	4132864
26600576062	499359744	4132864
26700578977	501628928	4136960
26800586595	503472128	4136960
26900582115	505704448	4136960
27000573459	509505536	4136960
27100575808	508063744	4136960
27200586411	471232512	4149248
27300577336	470163456	4165632
27400575244	469000192	4182016
27500577020	466755584	4206592
27600582725	472260608	4206592
27700575623	468979712	4231168
27800578473	470069248	4251648
27900583314	468922368	4272128
28000584218	467562496	4292608
28100584648	465960960	4313088
28200580070	471990272	4313088
28300571849	468279296	4333568
28400575594	472604672	4333568
28500576927	472301568	4345856
28600579078	474247168	4349952
28700575844	476106752	4354048
28800573364	457920512	4354048
28900574425	455667712	4378624
29000590471	460234752	4378624
29100574425	459874304	4403200
29200588736	459153408	4423680
29300575315	457089024	4444160
29400582990	455692288	4468736
29500576039	457043968	4481024
29600585353	455528448	4501504
29700575005	460902400	4501504
29800576159	458887168	4513792
29900580804	458649600	4538368
30000574597	459038720	4558848
30100582878	458522624	4579328
30200580165	456634368	4595712
30300573795	455041024	4628480
30400575041	453574656	4648960
30500575856	459108352	4648960
30600578023	458162176	4673536
30700578426	458600448	4694016
30800582501	458895360	4718592
30900578810	460730368	4718592
31000574753	460865536	4730880
31100570836	464142336	4730880
31200571333	466665472	4734976
31300573656	467660800	4734976
