time	rss	kernel
0	868352	192512
100502260	184754176	761856
200529496	184754176	761856
300504397	184754176	761856
400506541	184639488	761856
500506726	184639488	761856
600521547	184770560	761856
700525037	184770560	761856
800505803	184770560	761856
900507496	184770560	761856
1000509660	184770560	761856
1100521458	184770560	761856
1200507141	184770560	761856
1300507340	184770560	761856
1400519187	184770560	761856
1500529664	184770560	761856
1600509102	184770560	761856
1700508823	184770560	761856
1800503805	184770560	761856
1900509891	184770560	761856
2000524233	184770560	761856
2100506248	184770560	761856
2200503150	184770560	761856
2300507512	184770560	761856
2400508729	184770560	761856
