time	rss	kernel
0	712704	151552
100558073	81833984	692224
200832498	163618816	851968
300794097	163618816	851968
400567939	163618816	851968
501215057	228839424	987136
600812933	228839424	987136
700558720	227778560	978944
800577570	259510272	1040384
900830857	259510272	1040384
1000709063	274903040	1073152
1100815391	274903040	1073152
1200817356	282882048	1085440
1300814761	282882048	1085440
1400571986	286945280	1093632
1500833238	286945280	1093632
1600711533	288915456	1097728
1700815013	288915456	1097728
1800813728	289935360	1101824
1900818910	289935360	1101824
2001027634	290394112	1101824
2100814230	290394112	1101824
2200802043	290525184	1101824
2300816180	290525184	1101824
2400573258	290525184	1101824
2500982566	290525184	1101824
2600814889	290525184	1101824
