time	rss	kernel
0	655360	176128
100518384	76013568	757760
200794442	163672064	933888
300777927	163672064	933888
400545263	163672064	933888
500796757	228888576	1064960
600652141	228888576	1064960
700531755	227827712	1056768
800797635	259559424	1118208
900779650	259559424	1118208
1000779989	274948096	1146880
1100779879	274948096	1146880
1200521916	282931200	1163264
1300798336	282931200	1163264
1400778735	286945280	1171456
1500777938	286945280	1171456
1600784723	288964608	1175552
1700780072	288964608	1175552
1800777969	289980416	1175552
1900776414	289980416	1175552
2000785147	290443264	1179648
2100782975	290443264	1179648
2200780138	290574336	1179648
2300771322	290574336	1179648
2400538027	290574336	1179648
2500800869	290574336	1179648
2600782122	290574336	1179648
