time	rss	kernel
0	602112	176128
100656645	81629184	851968
200680290	170889216	1044480
300931930	171900928	1048576
400918310	171900928	1048576
500908520	236048384	1159168
600920329	236048384	1159168
700652769	266768384	1220608
800914890	266674176	1220608
900830012	266674176	1220608
1000920918	283037696	1265664
1100919261	283037696	1265664
1200915743	291426304	1277952
1300914981	291340288	1277952
1400810945	295456768	1286144
1500905017	295456768	1286144
1600811760	297496576	1290240
1700920119	297496576	1290240
1800797070	298676224	1294336
1900915100	298553344	1294336
2000919440	299077632	1294336
2100919972	299077632	1294336
2200915130	299339776	1294336
2300698665	299339776	1294336
2400935182	299339776	1294336
2500916898	299339776	1294336
