time	rss	kernel
0	675840	204800
100537903	73371648	847872
200546433	164220928	1036288
300797587	166424576	1056768
400800209	166424576	1056768
500696828	233787392	1167360
600801780	233787392	1167360
700561484	233787392	1167360
800817270	262004736	1470464
900800286	262004736	1470464
1000800474	277340160	1581056
1100805989	277340160	1581056
1200816480	284827648	1601536
1300800404	284827648	1601536
1400799659	288796672	1609728
1500794275	288796672	1609728
1600757742	290906112	1613824
1700795372	290906112	1613824
1800546594	290906112	1613824
1900605698	291958784	1617920
2000824286	291958784	1617920
2100818419	291434496	1617920
2200822060	291389440	1617920
2300545661	290648064	1617920
2400822706	290603008	1617920
2500797436	290123776	1617920
2600696594	290078720	1617920
